tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,64,0,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,91,127,,
0,text,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,,,,,,,0,7,100,,
0,midi_port,0,1,3,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,763942,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,E,,,,,,,,
0,time_signature,0,1,0,,,,,,,3,4,24,8,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
956,control_change,956,0,1,,,,,,,,,,,,,,,0,91,127,,
956,set_tempo,956,1,0,,,,,,,,,,,,669344,,,,,,,
956,control_change,956,0,2,,,,,,,,,,,,,,,0,91,127,,
960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,59,44
960,note_on,4,0,1,,,,,,,,,,,,,,,0,,,71,53
