tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,data,control,value,channel,program,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,,,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,,
0,midi_port,,0,1,1,,,,,,0,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,,,
0,key_signature,,0,1,0,,,,,Gm,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,,,,,
4,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 127, 0, 65)",,,,,,
6,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,
10,sysex,,4,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 4, 11)",,,,,,
12,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 49, 3, 11)",,,,,,
14,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 110, 30)",,,,,,
16,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 52, 60, 79)",,,,,,
18,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 56, 2, 5)",,,,,,
20,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 58, 100, 33)",,,,,,
22,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 61, 7, 123)",,,,,,
24,sysex,,2,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 62, 8, 121)",,,,,,
26,control_change,,2,0,1,,,,,,,,0,0,0,,,
28,control_change,,2,0,1,,,,,,,,32,1,0,,,
30,program_change,,2,0,1,,,,,,,,,,0,0,,
32,control_change,,2,0,1,,,,,,,,7,120,0,,,
34,control_change,,2,0,1,,,,,,,,11,120,0,,,
36,control_change,,2,0,1,,,,,,,,91,40,0,,,
38,control_change,,2,0,1,,,,,,,,93,0,0,,,
40,control_change,,2,0,1,,,,,,,,10,64,0,,,
42,control_change,,2,0,1,,,,,,,,99,1,0,,,
44,control_change,,2,0,1,,,,,,,,98,8,0,,,
46,control_change,,2,0,1,,,,,,,,6,64,0,,,
48,control_change,,2,0,1,,,,,,,,98,9,0,,,
50,control_change,,2,0,1,,,,,,,,6,64,0,,,
52,control_change,,2,0,1,,,,,,,,98,10,0,,,
54,control_change,,2,0,1,,,,,,,,6,64,0,,,
56,control_change,,2,0,1,,,,,,,,98,32,0,,,
58,control_change,,2,0,1,,,,,,,,6,64,0,,,
60,control_change,,2,0,1,,,,,,,,98,33,0,,,
62,control_change,,2,0,1,,,,,,,,6,64,0,,,
64,control_change,,2,0,1,,,,,,,,98,99,0,,,
66,control_change,,2,0,1,,,,,,,,6,64,0,,,
68,control_change,,2,0,1,,,,,,,,98,100,0,,,
70,control_change,,2,0,1,,,,,,,,6,80,0,,,
72,control_change,,2,0,1,,,,,,,,98,102,0,,,
74,control_change,,2,0,1,,,,,,,,6,64,0,,,
144,set_tempo,1818181,144,1,0,,,,,,,,,,,,,
144,note_on,,70,0,1,,,,,,,,,,0,,74,56
192,control_change,,192,0,3,,,,,,,,64,0,0,,,
192,set_tempo,1111111,48,1,0,,,,,,,,,,,,,
192,note_on,,192,0,2,,,,,,,,,,0,,43,42
200,control_change,,8,0,3,,,,,,,,64,127,0,,,
232,note_on,,40,0,2,,,,,,,,,,0,,43,0
240,note_on,,0,0,1,,,,,,,,,,0,,72,48
240,note_on,,96,0,1,,,,,,,,,,0,,74,0
240,note_on,,8,0,2,,,,,,,,,,0,,50,32
