tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,91,127,,
0,text,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,,,,0,0,,,,
0,control_change,0,0,2,,,,,,,,,,,,,,,0,7,100,,
0,control_change,0,0,2,,,,,,,,,,,,,,,0,64,127,,
0,note_on,0,0,2,,,,,,,,,,,,,,,0,,,37,36
0,midi_port,0,1,3,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,1411765,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,Db,,,,,,,,
0,time_signature,0,1,0,,,,,,,6,8,12,8,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
20,set_tempo,20,1,0,,,,,,,,,,,,1395349,,,,,,,
40,set_tempo,20,1,0,,,,,,,,,,,,1379310,,,,,,,
60,set_tempo,20,1,0,,,,,,,,,,,,1363636,,,,,,,
80,set_tempo,20,1,0,,,,,,,,,,,,1348315,,,,,,,
100,set_tempo,20,1,0,,,,,,,,,,,,1333333,,,,,,,
120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,65,31
120,note_on,120,0,2,,,,,,,,,,,,,,,0,,,37,0
