tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,3,,,55,100
0,control_change,0,0,4,,,,,,,,3,10,49,,
0,control_change,0,0,4,,,,,,,,3,7,100,,
0,program_change,0,0,4,,,,,,,0,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,2,10,59,,
0,control_change,0,0,3,,,,,,,,2,7,100,,
0,program_change,0,0,3,,,,,,,0,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,1,10,69,,
0,control_change,0,0,2,,,,,,,,1,7,100,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,0,1,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,
0,time_signature,0,1,0,3,8,12,8,,,,,,,,
0,key_signature,0,1,0,,,,,G,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,100,,
0,control_change,0,0,1,,,,,,,,0,10,79,,
240,note_on,240,0,1,,,,,,,,0,,,71,100
480,note_on,240,0,1,,,,,,,,0,,,71,0
480,note_on,0,0,1,,,,,,,,0,,,67,100
720,note_on,0,0,1,,,,,,,,0,,,74,100
720,note_on,0,0,4,,,,,,,,3,,,54,100
720,note_on,240,0,1,,,,,,,,0,,,67,0
720,note_on,720,0,4,,,,,,,,3,,,55,0
960,note_on,240,0,1,,,,,,,,0,,,74,0
960,note_on,960,0,2,,,,,,,,1,,,62,100
960,note_on,0,0,1,,,,,,,,0,,,69,100
1200,note_on,0,0,1,,,,,,,,0,,,74,100
1200,note_on,240,0,1,,,,,,,,0,,,69,0
1200,note_on,240,0,2,,,,,,,,1,,,62,0
1200,note_on,0,0,2,,,,,,,,1,,,66,100
1440,note_on,240,0,1,,,,,,,,0,,,74,0
1440,note_on,0,0,1,,,,,,,,0,,,79,100
1440,note_on,0,0,4,,,,,,,,3,,,52,100
1440,note_on,720,0,4,,,,,,,,3,,,54,0
