tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,note,velocity
0,set_tempo,857140,0,1,0,,,,,,,,
0,note_on,,0,0,1,,,,,,0,62,92
0,program_change,,0,0,1,,,,,19,0,,
0,track_name,,0,1,1,,,,,,,,
0,track_name,,0,1,2,,,,,,,,
0,track_name,,0,1,3,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
96,note_off,,96,0,1,,,,,,0,62,64
96,note_on,,0,0,1,,,,,,0,61,92
192,note_on,,0,0,1,,,,,,0,62,92
192,note_off,,96,0,1,,,,,,0,61,64
288,note_on,,0,0,1,,,,,,0,57,92
288,note_off,,96,0,1,,,,,,0,62,64
384,note_on,,0,0,1,,,,,,0,62,92
384,note_off,,96,0,1,,,,,,0,57,64
480,note_off,,96,0,1,,,,,,0,62,64
480,note_on,,0,0,1,,,,,,0,57,92
576,note_off,,96,0,1,,,,,,0,57,64
576,note_on,,0,0,1,,,,,,0,64,92
672,note_off,,96,0,1,,,,,,0,64,64
672,note_on,,0,0,1,,,,,,0,57,92
768,note_on,,0,0,1,,,,,,0,74,92
768,note_on,,0,0,1,,,,,,0,65,92
768,note_off,,96,0,1,,,,,,0,57,64
864,note_off,,96,0,1,,,,,,0,65,64
864,note_off,,0,0,1,,,,,,0,74,64
864,note_on,,0,0,1,,,,,,0,73,92
864,note_on,,0,0,1,,,,,,0,64,92
960,note_on,,0,0,1,,,,,,0,65,92
960,note_on,,0,0,1,,,,,,0,74,92
960,note_off,,0,0,1,,,,,,0,73,64
960,note_off,,96,0,1,,,,,,0,64,64
1056,note_off,,96,0,1,,,,,,0,65,64
1056,note_off,,0,0,1,,,,,,0,74,64
1056,note_on,,0,0,1,,,,,,0,69,92
1056,note_on,,0,0,1,,,,,,0,62,92
1152,note_on,,0,0,1,,,,,,0,65,92
1152,note_off,,96,0,1,,,,,,0,62,64
1152,note_on,,0,0,1,,,,,,0,74,92
1152,note_off,,0,0,1,,,,,,0,69,64
1248,note_off,,96,0,1,,,,,,0,65,64
1248,note_off,,0,0,1,,,,,,0,74,64
1248,note_on,,0,0,1,,,,,,0,69,92
1248,note_on,,0,0,1,,,,,,0,62,92
1344,note_off,,96,0,1,,,,,,0,62,64
1344,note_on,,0,0,1,,,,,,0,76,92
1344,note_on,,0,0,1,,,,,,0,67,92
1344,note_off,,0,0,1,,,,,,0,69,64
1440,note_on,,0,0,1,,,,,,0,62,92
1440,note_on,,0,0,1,,,,,,0,69,92
1440,note_off,,96,0,1,,,,,,0,67,64
1440,note_off,,0,0,1,,,,,,0,76,64
1536,note_on,,0,0,1,,,,,,0,77,92
1536,note_on,,0,0,1,,,,,,0,69,92
1536,note_off,,0,0,1,,,,,,0,69,64
1536,note_off,,96,0,1,,,,,,0,62,64
1632,note_on,,0,0,1,,,,,,0,76,92
1632,note_on,,0,0,1,,,,,,0,67,92
1632,note_off,,96,0,1,,,,,,0,77,64
1632,note_off,,0,0,1,,,,,,0,69,64
1728,note_off,,96,0,1,,,,,,0,76,64
1728,note_off,,0,0,1,,,,,,0,67,64
1728,note_on,,0,0,1,,,,,,0,69,92
1728,note_on,,0,0,1,,,,,,0,77,92
1824,note_off,,96,0,1,,,,,,0,77,64
1824,note_on,,0,0,1,,,,,,0,65,92
1824,note_on,,0,0,1,,,,,,0,74,92
1824,note_off,,0,0,1,,,,,,0,69,64
1920,note_on,,0,0,1,,,,,,0,69,92
1920,note_off,,96,0,1,,,,,,0,74,64
1920,note_off,,0,0,1,,,,,,0,65,64
1920,note_on,,0,0,1,,,,,,0,77,92
2016,note_on,,0,0,1,,,,,,0,74,92
2016,note_on,,0,0,1,,,,,,0,65,92
2016,note_off,,0,0,1,,,,,,0,69,64
2016,note_off,,96,0,1,,,,,,0,77,64
2112,note_on,,0,0,1,,,,,,0,79,92
2112,note_on,,0,0,1,,,,,,0,70,92
2112,note_off,,0,0,1,,,,,,0,65,64
2112,note_off,,96,0,1,,,,,,0,74,64
2208,note_off,,0,0,1,,,,,,0,70,64
2208,note_on,,0,0,1,,,,,,0,65,92
2208,note_on,,0,0,1,,,,,,0,74,92
2208,note_off,,96,0,1,,,,,,0,79,64
2304,note_off,,96,0,1,,,,,,0,74,64
2304,note_on,,0,0,1,,,,,,0,67,92
2304,note_on,,0,0,1,,,,,,0,76,92
2304,note_off,,0,0,1,,,,,,0,65,64
2400,note_off,,96,0,1,,,,,,0,76,64
2400,note_off,,0,0,1,,,,,,0,67,64
2400,note_on,,0,0,1,,,,,,0,74,92
2400,note_on,,0,0,1,,,,,,0,65,92
2496,note_on,,0,0,1,,,,,,0,76,92
2496,note_on,,0,0,1,,,,,,0,67,92
2496,note_off,,0,0,1,,,,,,0,65,64
2496,note_off,,96,0,1,,,,,,0,74,64
2592,note_off,,0,0,1,,,,,,0,67,64
2592,note_on,,0,0,1,,,,,,0,64,92
2592,note_off,,96,0,1,,,,,,0,76,64
2592,note_on,,0,0,1,,,,,,0,72,92
2688,note_off,,0,0,1,,,,,,0,64,64
2688,note_on,,0,0,1,,,,,,0,67,92
2688,note_on,,0,0,1,,,,,,0,76,92
2688,note_off,,96,0,1,,,,,,0,72,64
2784,note_off,,96,0,1,,,,,,0,76,64
2784,note_off,,0,0,1,,,,,,0,67,64
2784,note_on,,0,0,1,,,,,,0,64,92
2784,note_on,,0,0,1,,,,,,0,72,92
2880,note_off,,96,0,1,,,,,,0,72,64
2880,note_off,,0,0,1,,,,,,0,64,64
2880,note_on,,0,0,1,,,,,,0,77,92
2880,note_on,,0,0,1,,,,,,0,69,92
2976,note_off,,96,0,1,,,,,,0,77,64
2976,note_on,,0,0,1,,,,,,0,72,92
2976,note_off,,0,0,1,,,,,,0,69,64
2976,note_on,,0,0,1,,,,,,0,64,92
3072,note_on,,0,0,1,,,,,,0,74,92
3072,note_on,,0,0,1,,,,,,0,65,92
3072,note_off,,0,0,1,,,,,,0,64,64
3072,note_off,,96,0,1,,,,,,0,72,64
3168,note_off,,96,0,1,,,,,,0,74,64
3168,note_off,,0,0,1,,,,,,0,65,64
3168,note_on,,0,0,1,,,,,,0,73,92
3168,note_on,,0,0,1,,,,,,0,64,92
3264,note_on,,0,0,1,,,,,,0,74,92
3264,note_on,,0,0,1,,,,,,0,65,92
3264,note_off,,0,0,1,,,,,,0,64,64
3264,note_off,,96,0,1,,,,,,0,73,64
3360,note_on,,0,0,1,,,,,,0,71,92
3360,note_on,,0,0,1,,,,,,0,62,92
3360,note_off,,0,0,1,,,,,,0,65,64
3360,note_off,,96,0,1,,,,,,0,74,64
3456,note_off,,0,0,1,,,,,,0,62,64
3456,note_on,,0,0,1,,,,,,0,65,92
3456,note_on,,0,0,1,,,,,,0,74,92
3456,note_off,,96,0,1,,,,,,0,71,64
