tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,program,note,velocity
0,time_signature,6,4,96,8,0,1,0,,,,,,,
0,time_signature,6,4,96,8,0,1,9,,,,,,,
0,set_tempo,,,,,0,1,9,600000,,,,,,
0,track_name,,,,,0,1,10,,,,,,,
0,control_change,,,,,0,0,10,,0,0,11,,,
0,program_change,,,,,0,0,10,,,,11,42,,
0,time_signature,6,4,96,8,0,1,10,,,,,,,
0,set_tempo,,,,,0,1,10,600000,,,,,,
0,control_change,,,,,0,0,5,,0,0,4,,,
0,set_tempo,,,,,0,1,3,600000,,,,,,
0,time_signature,6,4,96,8,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,,,2,68,,
0,control_change,,,,,0,0,3,,0,0,2,,,
0,program_change,,,,,0,0,9,,,,8,40,,
0,track_name,,,,,0,1,3,,,,,,,
0,control_change,,,,,0,0,11,,0,0,12,,,
0,program_change,,,,,0,0,11,,,,12,43,,
0,time_signature,6,4,96,8,0,1,11,,,,,,,
0,set_tempo,,,,,0,1,11,600000,,,,,,
0,set_tempo,,,,,0,1,2,600000,,,,,,
0,time_signature,6,4,96,8,0,1,2,,,,,,,
0,program_change,,,,,0,0,2,,,,1,60,,
0,control_change,,,,,0,0,2,,0,0,1,,,
0,track_name,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,
0,control_change,,,,,0,0,12,,0,0,13,,,
0,program_change,,,,,0,0,12,,,,13,6,,
0,track_name,,,,,0,1,11,,,,,,,
0,control_change,,,,,0,0,9,,0,0,8,,,
0,track_name,,,,,0,1,9,,,,,,,
0,set_tempo,,,,,0,1,8,600000,,,,,,
0,program_change,,,,,0,0,5,,,,4,68,,
0,time_signature,6,4,96,8,0,1,5,,,,,,,
0,set_tempo,,,,,0,1,5,600000,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,control_change,,,,,0,0,6,,0,0,5,,,
0,program_change,,,,,0,0,6,,,,5,70,,
0,time_signature,6,4,96,8,0,1,6,,,,,,,
0,set_tempo,,,,,0,1,6,600000,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,control_change,,,,,0,0,7,,0,0,6,,,
0,program_change,,,,,0,0,7,,,,6,40,,
0,time_signature,6,4,96,8,0,1,7,,,,,,,
0,set_tempo,,,,,0,1,7,600000,,,,,,
0,set_tempo,,,,,0,1,4,600000,,,,,,
0,time_signature,6,4,96,8,0,1,4,,,,,,,
0,program_change,,,,,0,0,4,,,,3,68,,
0,control_change,,,,,0,0,4,,0,0,3,,,
0,track_name,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,
0,control_change,,,,,0,0,13,,0,0,14,,,
0,program_change,,,,,0,0,13,,,,14,41,,
0,time_signature,6,4,96,8,0,1,13,,,,,,,
0,set_tempo,,,,,0,1,13,600000,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,control_change,,,,,0,0,8,,0,0,7,,,
0,program_change,,,,,0,0,8,,,,7,40,,
0,time_signature,6,4,96,8,0,1,8,,,,,,,
0,time_signature,6,4,96,8,0,1,12,,,,,,,
0,set_tempo,,,,,0,1,12,600000,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,program_change,,,,,0,0,1,,,,0,60,,
0,set_tempo,,,,,0,1,0,600000,,,,,,
0,set_tempo,,,,,0,1,1,600000,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,control_change,,,,,0,0,1,,0,0,0,,,
0,time_signature,6,4,96,8,0,1,1,,,,,,,
