tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,program_change,,,,,0,0,14,,70,6,,,,
0,control_change,,,,,0,0,12,,,4,7,100,,
0,program_change,,,,,0,0,12,,68,4,,,,
0,track_name,,,,,0,1,12,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,
0,program_change,,,,,0,0,7,,70,6,,,,
0,control_change,,,,,0,0,7,,,6,7,100,,
0,control_change,,,,,0,0,2,,,1,7,100,,
0,program_change,,,,,0,0,2,,40,1,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,control_change,,,,,0,0,14,,,6,7,100,,
0,control_change,,,,,0,0,11,,,3,7,100,,
0,program_change,,,,,0,0,11,,42,3,,,,
0,track_name,,,,,0,1,11,,,,,,,
0,track_name,,,,,0,1,8,,,,,,,
0,program_change,,,,,0,0,8,,40,0,,,,
0,control_change,,,,,0,0,8,,,0,7,100,,
0,track_name,,,,,0,1,9,,,,,,,
0,program_change,,,,,0,0,9,,40,1,,,,
0,control_change,,,,,0,0,9,,,1,7,100,,
0,track_name,,,,,0,1,10,,,,,,,
0,track_name,,,,,0,1,14,,,,,,,
0,program_change,,,,,0,0,10,,41,2,,,,
0,control_change,,,,,0,0,10,,,2,7,100,,
0,program_change,,,,,0,0,6,,68,5,,,,
0,set_tempo,,,,,0,1,0,495868,,,,,,
0,marker,,,,,0,1,0,,,,,,,
0,control_change,,,,,0,0,4,,,3,7,100,,
0,program_change,,,,,0,0,4,,42,3,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,control_change,,,,,0,0,13,,,5,7,100,,
0,program_change,,,,,0,0,13,,68,5,,,,
0,track_name,,,,,0,1,13,,,,,,,
0,track_name,,,,,0,1,5,,,,,,,
0,program_change,,,,,0,0,5,,68,4,,,,
0,control_change,,,,,0,0,6,,,5,7,100,,
0,control_change,,,,,0,0,5,,,4,7,100,,
0,program_change,,,,,0,0,1,,40,0,,,,
0,control_change,,,,,0,0,1,,,0,7,100,,
0,control_change,,,,,0,0,3,,,2,7,100,,
0,program_change,,,,,0,0,3,,41,2,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,
711,note_on,,,,,711,0,1,,,0,,,72,89
711,note_on,,,,,711,0,5,,,4,,,72,78
717,note_on,,,,,717,0,3,,,2,,,64,80
719,note_on,,,,,719,0,7,,,6,,,60,82
724,note_on,,,,,724,0,4,,,3,,,60,87
724,note_on,,,,,724,0,6,,,5,,,72,80
728,note_on,,,,,728,0,2,,,1,,,67,85
817,note_off,,,,,98,0,7,,,6,,,60,64
825,note_off,,,,,101,0,4,,,3,,,60,64
834,note_off,,,,,106,0,2,,,1,,,67,64
