tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,,
0,track_name,,,,,0,1,3,,,,,
0,track_name,,,,,0,1,4,,,,,
0,track_name,,,,,0,1,1,,,,,
0,track_name,,,,,0,1,2,,,,,
0,key_signature,,,,,0,1,0,Am,,,,
0,set_tempo,,,,,0,1,0,,681818,,,
3072,note_on,,,,,3072,0,1,,,64,96,0
3072,note_on,,,,,3072,0,2,,,59,96,1
3072,note_on,,,,,3072,0,4,,,40,96,3
3072,note_on,,,,,3072,0,3,,,55,96,2
4096,note_on,,,,,0,0,4,,,52,96,3
4096,note_on,,,,,0,0,2,,,64,96,1
4096,note_off,,,,,1024,0,2,,,59,0,1
4096,note_off,,,,,1024,0,4,,,40,0,3
4096,note_on,,,,,0,0,1,,,67,96,0
4096,note_off,,,,,1024,0,1,,,64,0,0
4096,note_off,,,,,1024,0,3,,,55,0,2
4096,note_on,,,,,0,0,3,,,59,96,2
5120,note_on,,,,,0,0,2,,,65,96,1
5120,note_off,,,,,1024,0,2,,,64,0,1
5120,note_on,,,,,0,0,3,,,62,96,2
5120,note_off,,,,,1024,0,3,,,59,0,2
5120,note_off,,,,,1024,0,1,,,67,0,0
5120,note_on,,,,,0,0,1,,,69,96,0
5120,note_off,,,,,1024,0,4,,,52,0,3
5120,note_on,,,,,0,0,4,,,50,96,3
6144,note_on,,,,,0,0,3,,,55,96,2
6144,note_off,,,,,1024,0,1,,,69,0,0
6144,note_on,,,,,0,0,4,,,48,96,3
6144,note_off,,,,,1024,0,3,,,62,0,2
6144,note_off,,,,,1024,0,4,,,50,0,3
6144,note_on,,,,,0,0,1,,,72,96,0
6656,note_off,,,,,1536,0,2,,,65,0,1
6656,note_on,,,,,0,0,2,,,64,96,1
7168,note_on,,,,,0,0,1,,,69,96,0
7168,note_off,,,,,1024,0,1,,,72,0,0
7168,note_off,,,,,512,0,2,,,64,0,1
7168,note_on,,,,,0,0,2,,,62,96,1
7168,note_off,,,,,1024,0,4,,,48,0,3
7168,note_on,,,,,0,0,4,,,50,96,3
7680,note_on,,,,,0,0,3,,,53,96,2
7680,note_off,,,,,1536,0,3,,,55,0,2
8192,note_on,,,,,0,0,3,,,52,96,2
8192,note_off,,,,,512,0,3,,,53,0,2
8192,note_on,,,,,0,0,4,,,45,96,3
8192,note_off,,,,,1024,0,4,,,50,0,3
8192,note_off,,,,,1024,0,1,,,69,0,0
8192,note_on,,,,,0,0,1,,,69,96,0
8192,note_on,,,,,0,0,2,,,60,96,1
8192,note_off,,,,,1024,0,2,,,62,0,1
10240,note_off,,,,,2048,0,1,,,69,0,0
10240,note_off,,,,,2048,0,4,,,45,0,3
10240,note_off,,,,,2048,0,3,,,52,0,2
10240,note_off,,,,,2048,0,2,,,60,0,1
11264,note_on,,,,,1024,0,4,,,57,96,3
11264,note_on,,,,,1024,0,1,,,72,96,0
11264,note_on,,,,,1024,0,3,,,60,96,2
11264,note_on,,,,,1024,0,2,,,64,96,1
11776,note_off,,,,,512,0,2,,,64,0,1
11776,note_on,,,,,0,0,3,,,62,96,2
11776,note_on,,,,,0,0,2,,,66,96,1
11776,note_off,,,,,512,0,3,,,60,0,2
12288,note_on,,,,,0,0,3,,,64,96,2
12288,note_off,,,,,512,0,3,,,62,0,2
12288,note_on,,,,,0,0,1,,,72,96,0
12288,note_off,,,,,1024,0,1,,,72,0,0
12288,note_off,,,,,512,0,2,,,66,0,1
12288,note_off,,,,,1024,0,4,,,57,0,3
12288,note_on,,,,,0,0,2,,,67,96,1
12288,note_on,,,,,0,0,4,,,52,96,3
12800,note_off,,,,,512,0,4,,,52,0,3
12800,note_on,,,,,0,0,4,,,54,96,3
12800,note_on,,,,,0,0,3,,,62,96,2
12800,note_off,,,,,512,0,3,,,64,0,2
12800,note_on,,,,,0,0,2,,,69,96,1
12800,note_off,,,,,512,0,2,,,67,0,1
13312,note_off,,,,,512,0,3,,,62,0,2
13312,note_off,,,,,1024,0,1,,,72,0,0
13312,note_on,,,,,0,0,1,,,71,96,0
13312,note_on,,,,,0,0,3,,,62,96,2
13312,note_off,,,,,512,0,4,,,54,0,3
