tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,3,4,24,8,0,1,0,,,,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,3,,,,,
0,track_name,,,,,0,1,1,,,,,
0,track_name,,,,,0,1,5,,,,,
0,set_tempo,,,,,0,1,0,,500000,,,
0,key_signature,,,,,0,1,0,Bb,,,,
0,track_name,,,,,0,1,4,,,,,
2048,note_on,,,,,2048,0,1,,,70,96,0
2048,note_on,,,,,2048,0,5,,,62,96,4
2048,note_on,,,,,2048,0,2,,,65,96,1
2048,note_on,,,,,2048,0,4,,,58,96,3
2048,note_on,,,,,2048,0,3,,,62,96,2
3072,note_off,,,,,1024,0,5,,,62,0,4
3072,note_off,,,,,1024,0,2,,,65,0,1
3072,note_on,,,,,0,0,2,,,67,96,1
3072,note_off,,,,,1024,0,4,,,58,0,3
3072,note_on,,,,,0,0,5,,,62,96,4
3072,note_on,,,,,0,0,4,,,55,96,3
3072,note_on,,,,,0,0,3,,,62,96,2
3072,note_off,,,,,1024,0,1,,,70,0,0
3072,note_on,,,,,0,0,1,,,70,96,0
3072,note_off,,,,,1024,0,3,,,62,0,2
5120,note_on,,,,,0,0,5,,,62,96,4
5120,note_off,,,,,2048,0,5,,,62,0,4
5120,note_off,,,,,2048,0,1,,,70,0,0
5120,note_on,,,,,0,0,1,,,69,96,0
5120,note_on,,,,,0,0,3,,,62,96,2
5120,note_off,,,,,2048,0,2,,,67,0,1
5120,note_off,,,,,2048,0,3,,,62,0,2
5120,note_on,,,,,0,0,4,,,50,96,3
5120,note_off,,,,,2048,0,4,,,55,0,3
5120,note_on,,,,,0,0,2,,,65,96,1
5632,note_off,,,,,512,0,3,,,62,0,2
5632,note_on,,,,,0,0,3,,,60,96,2
6144,note_off,,,,,1024,0,2,,,65,0,1
6144,note_on,,,,,0,0,2,,,63,96,1
6144,note_off,,,,,512,0,3,,,60,0,2
6144,note_on,,,,,0,0,4,,,51,96,3
6144,note_off,,,,,1024,0,4,,,50,0,3
6144,note_off,,,,,1024,0,5,,,62,0,4
6144,note_on,,,,,0,0,5,,,67,96,4
6144,note_on,,,,,0,0,3,,,58,96,2
6144,note_off,,,,,1024,0,1,,,69,0,0
6144,note_on,,,,,0,0,1,,,67,96,0
7168,note_on,,,,,0,0,2,,,65,96,1
7168,note_off,,,,,1024,0,1,,,67,0,0
7168,note_on,,,,,0,0,1,,,69,96,0
7168,note_off,,,,,1024,0,3,,,58,0,2
7168,note_off,,,,,1024,0,5,,,67,0,4
7168,note_on,,,,,0,0,3,,,60,96,2
7168,note_off,,,,,1024,0,2,,,63,0,1
7168,note_on,,,,,0,0,5,,,60,96,4
8192,note_on,,,,,0,0,3,,,58,96,2
8192,note_on,,,,,0,0,1,,,70,96,0
8192,note_off,,,,,1024,0,1,,,69,0,0
8192,note_on,,,,,0,0,2,,,65,96,1
8192,note_off,,,,,2048,0,4,,,51,0,3
8192,note_on,,,,,0,0,4,,,50,96,3
8192,note_off,,,,,1024,0,3,,,60,0,2
8192,note_off,,,,,1024,0,2,,,65,0,1
8192,note_on,,,,,0,0,5,,,62,96,4
8192,note_off,,,,,1024,0,5,,,60,0,4
9216,note_on,,,,,0,0,1,,,72,96,0
9216,note_on,,,,,0,0,2,,,67,96,1
9216,note_off,,,,,1024,0,2,,,65,0,1
9216,note_on,,,,,0,0,4,,,51,96,3
9216,note_on,,,,,0,0,3,,,58,96,2
9216,note_off,,,,,1024,0,3,,,58,0,2
9216,note_off,,,,,1024,0,4,,,50,0,3
9216,note_off,,,,,1024,0,1,,,70,0,0
9216,note_off,,,,,1024,0,5,,,62,0,4
9216,note_on,,,,,0,0,5,,,60,96,4
10240,note_off,,,,,1024,0,4,,,51,0,3
10240,note_on,,,,,0,0,4,,,53,96,3
10240,note_off,,,,,1024,0,2,,,67,0,1
10240,note_on,,,,,0,0,2,,,65,96,1
10752,note_on,,,,,0,0,5,,,62,96,4
10752,note_off,,,,,1536,0,5,,,60,0,4
11264,note_off,,,,,512,0,5,,,62,0,4
11264,note_on,,,,,0,0,3,,,57,96,2
11264,note_off,,,,,2048,0,3,,,58,0,2
11264,note_on,,,,,0,0,5,,,63,96,4
12288,note_on,,,,,0,0,2,,,65,96,1
12288,note_off,,,,,2048,0,2,,,65,0,1
12288,note_off,,,,,3072,0,1,,,72,0,0
12288,note_on,,,,,0,0,1,,,70,96,0
12288,note_on,,,,,0,0,5,,,62,96,4
12288,note_on,,,,,0,0,4,,,46,96,3
12288,note_off,,,,,2048,0,4,,,53,0,3
12288,note_on,,,,,0,0,3,,,62,96,2
12288,note_off,,,,,1024,0,3,,,57,0,2
