tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,control_change,,,,,0,0,2,,,,1,7,122,,
0,control_change,,,,,0,0,2,,,,1,91,110,,
0,control_change,,,,,0,0,2,,,,1,91,110,,
0,sequencer_specific,,,,,0,1,3,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,3,,,0,2,,,,
0,control_change,,,,,0,0,3,,,,2,7,123,,
0,control_change,,,,,0,0,3,,,,2,91,110,,
0,program_change,,,,,0,0,2,,,0,1,,,,
0,control_change,,,,,0,0,1,,,,0,91,110,,
0,control_change,,,,,0,0,1,,,,0,7,126,,
0,program_change,,,,,0,0,1,,,0,0,,,,
0,sequencer_specific,,,,,0,1,1,,"(67, 0, 1, 0)",,,,,,
0,sequencer_specific,,,,,0,1,2,,"(67, 0, 1, 0)",,,,,,
0,set_tempo,,,,,0,1,0,306122,,,,,,,
3120,note_on,,,,,3120,0,1,,,,0,,,67,72
3264,note_on,,,,,144,0,1,,,,0,,,67,0
3360,note_on,,,,,96,0,1,,,,0,,,72,72
3504,note_on,,,,,144,0,1,,,,0,,,72,0
3600,note_on,,,,,96,0,1,,,,0,,,74,72
3744,note_on,,,,,144,0,1,,,,0,,,74,0
3840,note_on,,,,,3840,0,3,,,,2,,,48,58
3840,note_on,,,,,96,0,1,,,,0,,,75,72
4080,note_on,,,,,240,0,3,,,,2,,,48,0
4080,note_on,,,,,0,0,3,,,,2,,,51,58
4320,note_on,,,,,0,0,3,,,,2,,,55,58
4320,note_on,,,,,240,0,3,,,,2,,,51,0
4560,note_on,,,,,0,0,3,,,,2,,,60,58
4560,note_on,,,,,240,0,3,,,,2,,,55,0
4560,note_on,,,,,720,0,1,,,,0,,,75,0
4560,note_on,,,,,0,0,1,,,,0,,,77,72
4800,note_on,,,,,0,0,3,,,,2,,,48,58
4800,note_on,,,,,240,0,3,,,,2,,,60,0
4800,note_on,,,,,0,0,1,,,,0,,,74,72
4800,note_on,,,,,240,0,1,,,,0,,,77,0
5040,note_on,,,,,240,0,3,,,,2,,,48,0
5040,note_on,,,,,0,0,3,,,,2,,,53,58
5280,note_on,,,,,240,0,3,,,,2,,,53,0
5280,note_on,,,,,0,0,3,,,,2,,,55,58
5520,note_on,,,,,0,0,1,,,,0,,,75,72
5520,note_on,,,,,720,0,1,,,,0,,,74,0
5520,note_on,,,,,240,0,3,,,,2,,,55,0
5520,note_on,,,,,0,0,3,,,,2,,,59,58
5760,note_on,,,,,0,0,1,,,,0,,,72,72
5760,note_on,,,,,240,0,1,,,,0,,,75,0
5760,note_on,,,,,240,0,3,,,,2,,,59,0
5760,note_on,,,,,0,0,3,,,,2,,,48,58
6000,note_on,,,,,240,0,3,,,,2,,,48,0
6000,note_on,,,,,0,0,3,,,,2,,,51,58
6240,note_on,,,,,240,0,3,,,,2,,,51,0
6240,note_on,,,,,0,0,3,,,,2,,,55,58
6480,note_on,,,,,240,0,3,,,,2,,,55,0
6480,note_on,,,,,0,0,3,,,,2,,,60,58
6528,note_on,,,,,768,0,1,,,,0,,,72,0
6720,note_on,,,,,0,0,3,,,,2,,,63,58
6720,note_on,,,,,240,0,3,,,,2,,,60,0
6720,note_on,,,,,192,0,1,,,,0,,,74,72
6780,note_on,,,,,0,0,1,,,,0,,,72,72
6780,note_on,,,,,60,0,1,,,,0,,,74,0
6960,note_on,,,,,0,0,1,,,,0,,,71,72
6960,note_on,,,,,180,0,1,,,,0,,,72,0
6960,note_on,,,,,240,0,3,,,,2,,,63,0
6960,note_on,,,,,0,0,3,,,,2,,,67,58
7200,note_on,,,,,0,0,3,,,,2,,,63,58
7200,note_on,,,,,240,0,3,,,,2,,,67,0
7200,note_on,,,,,240,0,1,,,,0,,,71,0
7200,note_on,,,,,0,0,1,,,,0,,,72,72
7440,note_on,,,,,0,0,3,,,,2,,,62,58
7440,note_on,,,,,240,0,1,,,,0,,,72,0
7440,note_on,,,,,240,0,3,,,,2,,,63,0
7440,note_on,,,,,0,0,1,,,,0,,,74,72
7680,note_on,,,,,240,0,3,,,,2,,,62,0
7680,note_on,,,,,0,0,1,,,,0,,,77,72
7680,note_on,,,,,240,0,1,,,,0,,,74,0
7680,note_on,,,,,0,0,3,,,,2,,,60,58
7740,note_on,,,,,0,0,1,,,,0,,,75,72
7740,note_on,,,,,60,0,1,,,,0,,,77,0
7920,note_on,,,,,180,0,1,,,,0,,,75,0
7920,note_on,,,,,0,0,3,,,,2,,,67,58
7920,note_on,,,,,240,0,3,,,,2,,,60,0
7920,note_on,,,,,0,0,1,,,,0,,,74,72
8160,note_on,,,,,240,0,1,,,,0,,,74,0
8160,note_on,,,,,0,0,1,,,,0,,,75,72
8160,note_on,,,,,0,0,3,,,,2,,,63,58
8160,note_on,,,,,240,0,3,,,,2,,,67,0
8160,note_on,,,,,0,0,3,,,,2,,,60,58
8400,note_on,,,,,240,0,3,,,,2,,,63,0
8400,note_on,,,,,0,0,3,,,,2,,,60,0
8400,note_on,,,,,0,0,3,,,,2,,,67,58
8400,note_on,,,,,0,0,1,,,,0,,,77,72
8400,note_on,,,,,240,0,1,,,,0,,,75,0
8640,note_on,,,,,0,0,1,,,,0,,,79,72
8640,note_on,,,,,240,0,1,,,,0,,,77,0
8640,note_on,,,,,240,0,3,,,,2,,,67,0
8640,note_on,,,,,0,0,3,,,,2,,,59,58
8640,note_on,,,,,0,0,3,,,,2,,,62,58
8880,note_on,,,,,0,0,3,,,,2,,,59,0
8880,note_on,,,,,0,0,3,,,,2,,,67,58
8880,note_on,,,,,240,0,3,,,,2,,,62,0
8928,note_on,,,,,288,0,1,,,,0,,,79,0
9120,note_on,,,,,0,0,3,,,,2,,,60,58
9120,note_on,,,,,192,0,1,,,,0,,,79,72
9120,note_on,,,,,240,0,3,,,,2,,,67,0
9120,note_on,,,,,0,0,3,,,,2,,,56,58
9360,note_on,,,,,240,0,3,,,,2,,,60,0
9360,note_on,,,,,0,0,3,,,,2,,,56,0
9360,note_on,,,,,0,0,3,,,,2,,,67,58
9408,note_on,,,,,288,0,1,,,,0,,,79,0
9600,note_on,,,,,0,0,3,,,,2,,,55,58
9600,note_on,,,,,240,0,3,,,,2,,,67,0
9600,note_on,,,,,192,0,1,,,,0,,,79,72
9840,note_on,,,,,240,0,3,,,,2,,,55,0
9840,note_on,,,,,0,0,3,,,,2,,,59,58
10080,note_on,,,,,0,0,3,,,,2,,,62,58
10080,note_on,,,,,240,0,3,,,,2,,,59,0
10320,note_on,,,,,0,0,3,,,,2,,,67,58
10320,note_on,,,,,240,0,3,,,,2,,,62,0
10560,note_on,,,,,240,0,3,,,,2,,,67,0
10560,note_on,,,,,0,0,3,,,,2,,,55,58
10752,note_on,,,,,1152,0,1,,,,0,,,79,0
10800,note_on,,,,,0,0,3,,,,2,,,59,58
10800,note_on,,,,,240,0,3,,,,2,,,55,0
11040,note_on,,,,,240,0,3,,,,2,,,59,0
11040,note_on,,,,,0,0,3,,,,2,,,62,58
11040,note_on,,,,,288,0,1,,,,0,,,77,72
11280,note_on,,,,,0,0,3,,,,2,,,67,58
11280,note_on,,,,,240,0,3,,,,2,,,62,0
11280,note_on,,,,,0,0,1,,,,0,,,79,72
11280,note_on,,,,,240,0,1,,,,0,,,77,0
11520,note_on,,,,,0,0,3,,,,2,,,53,58
11520,note_on,,,,,240,0,3,,,,2,,,67,0
11520,note_on,,,,,0,0,1,,,,0,,,77,72
11520,note_on,,,,,240,0,1,,,,0,,,79,0
11580,note_on,,,,,60,0,1,,,,0,,,77,0
11580,note_on,,,,,0,0,1,,,,0,,,79,72
11640,note_on,,,,,60,0,1,,,,0,,,79,0
11640,note_on,,,,,0,0,1,,,,0,,,80,92
11760,note_on,,,,,240,0,3,,,,2,,,53,0
11760,note_on,,,,,0,0,3,,,,2,,,56,58
12000,note_on,,,,,240,0,3,,,,2,,,56,0
12000,note_on,,,,,0,0,3,,,,2,,,59,58
12240,note_on,,,,,0,0,3,,,,2,,,62,58
12240,note_on,,,,,240,0,3,,,,2,,,59,0
12480,note_on,,,,,0,0,3,,,,2,,,53,58
12480,note_on,,,,,0,0,1,,,,0,,,74,72
12480,note_on,,,,,840,0,1,,,,0,,,80,0
12480,note_on,,,,,240,0,3,,,,2,,,62,0
12720,note_on,,,,,240,0,3,,,,2,,,53,0
12720,note_on,,,,,0,0,3,,,,2,,,56,58
12768,note_on,,,,,288,0,1,,,,0,,,74,0
12960,note_on,,,,,240,0,3,,,,2,,,56,0
12960,note_on,,,,,192,0,1,,,,0,,,75,72
12960,note_on,,,,,0,0,3,,,,2,,,59,58
13200,note_on,,,,,0,0,1,,,,0,,,77,72
13200,note_on,,,,,240,0,1,,,,0,,,75,0
13200,note_on,,,,,240,0,3,,,,2,,,59,0
13200,note_on,,,,,0,0,3,,,,2,,,62,58
13440,note_on,,,,,0,0,3,,,,2,,,51,58
13440,note_on,,,,,240,0,3,,,,2,,,62,0
13440,note_on,,,,,240,0,1,,,,0,,,77,0
13440,note_on,,,,,0,0,1,,,,0,,,75,72
13500,note_on,,,,,60,0,1,,,,0,,,75,0
13500,note_on,,,,,0,0,1,,,,0,,,77,72
13560,note_on,,,,,60,0,1,,,,0,,,77,0
13560,note_on,,,,,0,0,1,,,,0,,,79,92
13680,note_on,,,,,0,0,3,,,,2,,,55,58
13680,note_on,,,,,240,0,3,,,,2,,,51,0
13920,note_on,,,,,240,0,3,,,,2,,,55,0
13920,note_on,,,,,0,0,3,,,,2,,,60,58
14160,note_on,,,,,240,0,3,,,,2,,,60,0
14160,note_on,,,,,0,0,3,,,,2,,,63,58
14400,note_on,,,,,0,0,1,,,,0,,,72,72
14400,note_on,,,,,840,0,1,,,,0,,,79,0
14400,note_on,,,,,0,0,3,,,,2,,,56,58
14400,note_on,,,,,240,0,3,,,,2,,,63,0
14640,note_on,,,,,240,0,3,,,,2,,,56,0
14640,note_on,,,,,0,0,3,,,,2,,,60,58
14688,note_on,,,,,288,0,1,,,,0,,,72,0
14880,note_on,,,,,192,0,1,,,,0,,,72,72
14880,note_on,,,,,240,0,3,,,,2,,,60,0
14880,note_on,,,,,0,0,3,,,,2,,,63,58
15120,note_on,,,,,0,0,1,,,,0,,,74,72
15120,note_on,,,,,240,0,1,,,,0,,,72,0
15120,note_on,,,,,0,0,3,,,,2,,,68,58
15120,note_on,,,,,240,0,3,,,,2,,,63,0
15360,note_on,,,,,240,0,3,,,,2,,,68,0
15360,note_on,,,,,0,0,3,,,,2,,,55,58
15360,note_on,,,,,0,0,1,,,,0,,,75,72
15360,note_on,,,,,240,0,1,,,,0,,,74,0
15600,note_on,,,,,240,0,3,,,,2,,,55,0
15600,note_on,,,,,0,0,3,,,,2,,,60,58
15648,note_on,,,,,288,0,1,,,,0,,,75,0
15840,note_on,,,,,0,0,3,,,,2,,,63,58
15840,note_on,,,,,240,0,3,,,,2,,,60,0
15840,note_on,,,,,192,0,1,,,,0,,,75,72
16080,note_on,,,,,0,0,1,,,,0,,,77,72
16080,note_on,,,,,0,0,3,,,,2,,,67,58
16080,note_on,,,,,240,0,3,,,,2,,,63,0
16080,note_on,,,,,240,0,1,,,,0,,,75,0
16320,note_on,,,,,0,0,3,,,,2,,,55,58
16320,note_on,,,,,240,0,3,,,,2,,,67,0
16320,note_on,,,,,240,0,1,,,,0,,,77,0
16320,note_on,,,,,0,0,1,,,,0,,,74,72
16560,note_on,,,,,0,0,3,,,,2,,,59,58
16560,note_on,,,,,240,0,3,,,,2,,,55,0
16608,note_on,,,,,288,0,1,,,,0,,,74,0
16800,note_on,,,,,192,0,1,,,,0,,,74,72
16800,note_on,,,,,0,0,3,,,,2,,,62,58
16800,note_on,,,,,240,0,3,,,,2,,,59,0
17040,note_on,,,,,240,0,3,,,,2,,,62,0
17040,note_on,,,,,0,0,3,,,,2,,,67,58
17040,note_on,,,,,240,0,1,,,,0,,,74,0
17040,note_on,,,,,0,0,1,,,,0,,,75,72
17280,note_on,,,,,240,0,3,,,,2,,,67,0
17280,note_on,,,,,240,0,1,,,,0,,,75,0
17280,note_on,,,,,0,0,1,,,,0,,,72,72
17520,note_on,,,,,240,0,3,,,,2,,,48,58
17664,note_on,,,,,384,0,1,,,,0,,,72,0
17760,note_on,,,,,240,0,3,,,,2,,,48,0
17760,note_on,,,,,0,0,3,,,,2,,,51,58
18000,note_on,,,,,240,0,3,,,,2,,,51,0
18000,note_on,,,,,0,0,3,,,,2,,,55,58
18240,note_on,,,,,0,0,3,,,,2,,,60,58
18240,note_on,,,,,240,0,3,,,,2,,,55,0
18624,note_on,,,,,384,0,3,,,,2,,,60,0
18720,note_on,,,,,1056,0,1,,,,0,,,77,72
18960,note_on,,,,,0,0,1,,,,0,,,79,72
18960,note_on,,,,,240,0,1,,,,0,,,77,0
19200,note_on,,,,,240,0,1,,,,0,,,79,0
19200,note_on,,,,,0,0,1,,,,0,,,80,72
19200,note_on,,,,,0,0,1,,,,0,,,68,72
19440,note_on,,,,,816,0,3,,,,2,,,41,58
19680,note_on,,,,,240,0,3,,,,2,,,41,0
19680,note_on,,,,,0,0,3,,,,2,,,47,58
19920,note_on,,,,,240,0,3,,,,2,,,47,0
19920,note_on,,,,,0,0,3,,,,2,,,50,58
20160,note_on,,,,,960,0,1,,,,0,,,68,0
20160,note_on,,,,,240,0,3,,,,2,,,50,0
20160,note_on,,,,,0,0,3,,,,2,,,53,58
20160,note_on,,,,,0,0,1,,,,0,,,74,72
20160,note_on,,,,,0,0,1,,,,0,,,80,0
20400,note_on,,,,,240,0,3,,,,2,,,53,0
20400,note_on,,,,,0,0,3,,,,2,,,56,58
20448,note_on,,,,,288,0,1,,,,0,,,74,0
20640,note_on,,,,,192,0,1,,,,0,,,75,72
20640,note_on,,,,,240,0,3,,,,2,,,56,0
20640,note_on,,,,,0,0,3,,,,2,,,55,58
20880,note_on,,,,,0,0,1,,,,0,,,77,72
20880,note_on,,,,,240,0,1,,,,0,,,75,0
20880,note_on,,,,,0,0,3,,,,2,,,53,58
20880,note_on,,,,,240,0,3,,,,2,,,55,0
21120,note_on,,,,,240,0,3,,,,2,,,53,0
21120,note_on,,,,,0,0,1,,,,0,,,79,72
21120,note_on,,,,,0,0,1,,,,0,,,67,72
21120,note_on,,,,,240,0,1,,,,0,,,77,0
21360,note_on,,,,,240,0,3,,,,2,,,39,58
21600,note_on,,,,,240,0,3,,,,2,,,39,0
21600,note_on,,,,,0,0,3,,,,2,,,43,58
21840,note_on,,,,,0,0,3,,,,2,,,48,58
21840,note_on,,,,,240,0,3,,,,2,,,43,0
22080,note_on,,,,,0,0,3,,,,2,,,51,58
22080,note_on,,,,,960,0,1,,,,0,,,79,0
22080,note_on,,,,,0,0,1,,,,0,,,67,0
22080,note_on,,,,,0,0,1,,,,0,,,72,72
22080,note_on,,,,,240,0,3,,,,2,,,48,0
22320,note_on,,,,,0,0,3,,,,2,,,55,58
22320,note_on,,,,,240,0,3,,,,2,,,51,0
22368,note_on,,,,,288,0,1,,,,0,,,72,0
22560,note_on,,,,,0,0,3,,,,2,,,56,58
22560,note_on,,,,,240,0,3,,,,2,,,55,0
22560,note_on,,,,,192,0,1,,,,0,,,72,72
22800,note_on,,,,,0,0,1,,,,0,,,74,72
22800,note_on,,,,,240,0,1,,,,0,,,72,0
22800,note_on,,,,,240,0,3,,,,2,,,56,0
22800,note_on,,,,,0,0,3,,,,2,,,54,58
23040,note_on,,,,,240,0,1,,,,0,,,74,0
23040,note_on,,,,,240,0,3,,,,2,,,54,0
23040,note_on,,,,,0,0,3,,,,2,,,43,58
23040,note_on,,,,,0,0,1,,,,0,,,75,72
23232,note_on,,,,,192,0,3,,,,2,,,43,0
23280,note_on,,,,,48,0,3,,,,2,,,55,58
23328,note_on,,,,,288,0,1,,,,0,,,75,0
23472,note_on,,,,,192,0,3,,,,2,,,55,0
23520,note_on,,,,,48,0,3,,,,2,,,60,58
23520,note_on,,,,,192,0,1,,,,0,,,75,72
23712,note_on,,,,,192,0,3,,,,2,,,60,0
23760,note_on,,,,,48,0,3,,,,2,,,55,58
23760,note_on,,,,,0,0,1,,,,0,,,77,72
23760,note_on,,,,,240,0,1,,,,0,,,75,0
23952,note_on,,,,,192,0,3,,,,2,,,55,0
24000,note_on,,,,,240,0,1,,,,0,,,77,0
24000,note_on,,,,,48,0,3,,,,2,,,43,58
24000,note_on,,,,,0,0,1,,,,0,,,74,72
24192,note_on,,,,,192,0,3,,,,2,,,43,0
24240,note_on,,,,,48,0,3,,,,2,,,55,58
24288,note_on,,,,,288,0,1,,,,0,,,74,0
24432,note_on,,,,,192,0,3,,,,2,,,55,0
24480,note_on,,,,,48,0,3,,,,2,,,59,58
24480,note_on,,,,,192,0,1,,,,0,,,74,72
24672,note_on,,,,,192,0,3,,,,2,,,59,0
24720,note_on,,,,,48,0,3,,,,2,,,55,58
24720,note_on,,,,,240,0,1,,,,0,,,74,0
24720,note_on,,,,,0,0,1,,,,0,,,75,72
24912,note_on,,,,,192,0,3,,,,2,,,55,0
24960,note_on,,,,,240,0,1,,,,0,,,75,0
24960,note_on,,,,,0,0,1,,,,0,,,72,72
24960,note_on,,,,,48,0,3,,,,2,,,48,58
24976,set_tempo,,,,,24976,1,0,306122,,,,,,,
25152,note_on,,,,,192,0,3,,,,2,,,48,0
25200,note_on,,,,,48,0,3,,,,2,,,60,58
25248,note_on,,,,,288,0,1,,,,0,,,72,0
25392,note_on,,,,,192,0,3,,,,2,,,60,0
25440,note_on,,,,,48,0,3,,,,2,,,59,58
25440,note_on,,,,,192,0,1,,,,0,,,82,72
25632,note_on,,,,,192,0,3,,,,2,,,59,0
25680,note_on,,,,,48,0,3,,,,2,,,60,58
25872,note_on,,,,,192,0,3,,,,2,,,60,0
25920,note_on,,,,,48,0,3,,,,2,,,52,58
26112,note_on,,,,,192,0,3,,,,2,,,52,0
26160,note_on,,,,,48,0,3,,,,2,,,60,58
26176,set_tempo,,,,,1200,1,0,304568,,,,,,,
26208,note_on,,,,,768,0,1,,,,0,,,82,0
26352,note_on,,,,,192,0,3,,,,2,,,60,0
26400,note_on,,,,,48,0,3,,,,2,,,55,59
26400,note_on,,,,,192,0,1,,,,0,,,82,76
26592,note_on,,,,,192,0,3,,,,2,,,55,0
26640,note_on,,,,,48,0,3,,,,2,,,60,61
26832,note_on,,,,,192,0,3,,,,2,,,60,0
26880,note_on,,,,,48,0,3,,,,2,,,53,62
27072,note_on,,,,,192,0,3,,,,2,,,53,0
27120,note_on,,,,,0,0,1,,,,0,,,80,79
27120,note_on,,,,,720,0,1,,,,0,,,82,0
27120,note_on,,,,,48,0,3,,,,2,,,60,64
27312,note_on,,,,,192,0,3,,,,2,,,60,0
27360,note_on,,,,,48,0,3,,,,2,,,56,65
27360,note_on,,,,,0,0,1,,,,0,,,79,80
27360,note_on,,,,,240,0,1,,,,0,,,80,0
27376,set_tempo,,,,,1200,1,0,303030,,,,,,,
27552,note_on,,,,,192,0,3,,,,2,,,56,0
27600,note_on,,,,,48,0,3,,,,2,,,60,67
27600,note_on,,,,,240,0,1,,,,0,,,79,0
27600,note_on,,,,,0,0,1,,,,0,,,77,81
27792,note_on,,,,,192,0,3,,,,2,,,60,0
27840,note_on,,,,,48,0,3,,,,2,,,55,68
27840,note_on,,,,,240,0,1,,,,0,,,77,0
27840,note_on,,,,,0,0,1,,,,0,,,75,82
28032,note_on,,,,,192,0,3,,,,2,,,55,0
28080,note_on,,,,,48,0,3,,,,2,,,65,70
28080,note_on,,,,,0,0,1,,,,0,,,74,83
28080,note_on,,,,,240,0,1,,,,0,,,75,0
28272,note_on,,,,,192,0,3,,,,2,,,65,0
28320,note_on,,,,,0,0,1,,,,0,,,72,84
28320,note_on,,,,,240,0,1,,,,0,,,74,0
28320,note_on,,,,,48,0,3,,,,2,,,59,71
28512,note_on,,,,,192,0,3,,,,2,,,59,0
28560,note_on,,,,,48,0,3,,,,2,,,65,73
28560,note_on,,,,,240,0,1,,,,0,,,72,0
28560,note_on,,,,,0,0,1,,,,0,,,71,85
28576,set_tempo,,,,,1200,1,0,301507,,,,,,,
28752,note_on,,,,,192,0,3,,,,2,,,65,0
28800,note_on,,,,,48,0,3,,,,2,,,56,74
28800,note_on,,,,,240,0,1,,,,0,,,71,0
28800,note_on,,,,,0,0,1,,,,0,,,72,86
28992,note_on,,,,,192,0,3,,,,2,,,56,0
29040,note_on,,,,,48,0,3,,,,2,,,63,76
29088,note_on,,,,,288,0,1,,,,0,,,72,0
29232,note_on,,,,,192,0,3,,,,2,,,63,0
29280,note_on,,,,,0,0,1,,,,0,,,84,88
29280,note_on,,,,,48,0,3,,,,2,,,60,77
29280,note_on,,,,,192,0,1,,,,0,,,72,88
29472,note_on,,,,,192,0,3,,,,2,,,60,0
29520,note_on,,,,,48,0,3,,,,2,,,63,79
29576,set_tempo,,,,,1000,1,0,300000,,,,,,,
29712,note_on,,,,,192,0,3,,,,2,,,63,0
29760,note_on,,,,,48,0,3,,,,2,,,55,80
29952,note_on,,,,,192,0,3,,,,2,,,55,0
30000,note_on,,,,,48,0,3,,,,2,,,64,82
30192,note_on,,,,,192,0,3,,,,2,,,64,0
30240,note_on,,,,,48,0,3,,,,2,,,60,83
30240,note_on,,,,,960,0,1,,,,0,,,84,0
30240,note_on,,,,,0,0,1,,,,0,,,72,0
30240,note_on,,,,,0,0,1,,,,0,,,82,91
30432,note_on,,,,,192,0,3,,,,2,,,60,0
30480,note_on,,,,,48,0,3,,,,2,,,64,84
30672,note_on,,,,,192,0,3,,,,2,,,64,0
30720,note_on,,,,,48,0,3,,,,2,,,53,86
30720,set_tempo,,,,,1144,1,0,298507,,,,,,,
30912,note_on,,,,,192,0,3,,,,2,,,53,0
30960,note_on,,,,,0,0,1,,,,0,,,80,94
30960,note_on,,,,,720,0,1,,,,0,,,82,0
30960,note_on,,,,,48,0,3,,,,2,,,65,87
31152,note_on,,,,,192,0,3,,,,2,,,65,0
31200,note_on,,,,,48,0,3,,,,2,,,60,89
31200,note_on,,,,,240,0,1,,,,0,,,80,0
31200,note_on,,,,,0,0,1,,,,0,,,79,95
31392,note_on,,,,,192,0,3,,,,2,,,60,0
31440,note_on,,,,,48,0,3,,,,2,,,65,90
31440,note_on,,,,,0,0,1,,,,0,,,77,96
31440,note_on,,,,,240,0,1,,,,0,,,79,0
31632,note_on,,,,,192,0,3,,,,2,,,65,0
31680,note_on,,,,,48,0,3,,,,2,,,55,92
31680,note_on,,,,,0,0,1,,,,0,,,75,97
31680,note_on,,,,,240,0,1,,,,0,,,77,0
31872,note_on,,,,,192,0,3,,,,2,,,55,0
31920,note_on,,,,,48,0,3,,,,2,,,67,93
31920,note_on,,,,,240,0,1,,,,0,,,75,0
31920,note_on,,,,,0,0,1,,,,0,,,74,98
32112,note_on,,,,,192,0,3,,,,2,,,67,0
32160,note_on,,,,,48,0,3,,,,2,,,55,95
32160,note_on,,,,,0,0,1,,,,0,,,72,99
32160,note_on,,,,,240,0,1,,,,0,,,74,0
32352,note_on,,,,,192,0,3,,,,2,,,55,0
32400,note_on,,,,,48,0,3,,,,2,,,67,96
32400,note_on,,,,,240,0,1,,,,0,,,72,0
32400,note_on,,,,,0,0,1,,,,0,,,71,100
32592,note_on,,,,,192,0,3,,,,2,,,67,0
32640,note_on,,,,,0,0,1,,,,0,,,72,101
32640,note_on,,,,,240,0,1,,,,0,,,71,0
32640,note_on,,,,,48,0,3,,,,2,,,60,98
32656,set_tempo,,,,,1936,1,0,306122,,,,,,,
32928,note_on,,,,,288,0,1,,,,0,,,72,0
32928,note_on,,,,,288,0,3,,,,2,,,60,0
33056,set_tempo,,,,,400,1,0,307692,,,,,,,
33120,note_on,,,,,192,0,1,,,,0,,,75,105
33120,note_on,,,,,0,0,3,,,,2,,,59,108
33120,note_on,,,,,192,0,3,,,,2,,,55,108
33180,note_on,,,,,60,0,1,,,,0,,,75,0
33180,note_on,,,,,0,0,1,,,,0,,,74,105
33240,note_on,,,,,60,0,1,,,,0,,,74,0
33240,note_on,,,,,0,0,1,,,,0,,,75,105
33256,set_tempo,,,,,200,1,0,309278,,,,,,,
33300,note_on,,,,,60,0,1,,,,0,,,75,0
33300,note_on,,,,,0,0,1,,,,0,,,74,105
33360,note_on,,,,,60,0,1,,,,0,,,74,0
33360,note_on,,,,,0,0,1,,,,0,,,72,105
33408,note_on,,,,,0,0,3,,,,2,,,55,0
33408,note_on,,,,,288,0,3,,,,2,,,59,0
33456,set_tempo,,,,,200,1,0,312500,,,,,,,
33480,note_on,,,,,120,0,1,,,,0,,,72,0
33480,note_on,,,,,0,0,1,,,,0,,,74,105
33600,note_on,,,,,0,0,1,,,,0,,,75,105
33600,note_on,,,,,0,0,3,,,,2,,,48,108
33600,note_on,,,,,192,0,3,,,,2,,,60,108
33600,note_on,,,,,120,0,1,,,,0,,,74,0
33656,set_tempo,,,,,200,1,0,317460,,,,,,,
33856,set_tempo,,,,,200,1,0,322580,,,,,,,
33888,note_on,,,,,0,0,3,,,,2,,,60,0
33888,note_on,,,,,288,0,3,,,,2,,,48,0
33888,note_on,,,,,288,0,1,,,,0,,,75,0
34056,set_tempo,,,,,200,1,0,329670,,,,,,,
34080,note_on,,,,,192,0,3,,,,2,,,43,108
34080,note_on,,,,,0,0,1,,,,0,,,83,105
34080,note_on,,,,,0,0,1,,,,0,,,71,105
34080,note_on,,,,,0,0,3,,,,2,,,55,108
34080,note_on,,,,,192,0,1,,,,0,,,74,105
34256,set_tempo,,,,,200,1,0,337078,,,,,,,
34368,note_on,,,,,288,0,3,,,,2,,,55,0
34368,note_on,,,,,0,0,3,,,,2,,,43,0
34368,set_tempo,,,,,112,1,0,342857,,,,,,,
34368,note_on,,,,,288,0,1,,,,0,,,83,0
34368,note_on,,,,,0,0,1,,,,0,,,71,0
34368,note_on,,,,,0,0,1,,,,0,,,74,0
34560,note_on,,,,,192,0,3,,,,2,,,36,108
34560,note_on,,,,,0,0,1,,,,0,,,72,105
34560,set_tempo,,,,,192,1,0,319148,,,,,,,
34560,note_on,,,,,192,0,1,,,,0,,,75,105
34560,note_on,,,,,0,0,1,,,,0,,,84,105
34560,note_on,,,,,0,0,3,,,,2,,,48,108
34848,note_on,,,,,288,0,1,,,,0,,,84,0
34848,note_on,,,,,0,0,3,,,,2,,,36,0
34848,note_on,,,,,0,0,1,,,,0,,,72,0
34848,note_on,,,,,0,0,1,,,,0,,,75,0
34848,note_on,,,,,288,0,3,,,,2,,,48,0
36480,note_on,,,,,0,0,1,,,,0,,,55,105
36480,note_on,,,,,0,0,1,,,,0,,,60,105
36480,note_on,,,,,1632,0,1,,,,0,,,64,105
36480,note_on,,,,,0,0,3,,,,2,,,46,110
36480,note_on,,,,,1632,0,3,,,,2,,,34,110
38400,note_on,,,,,0,0,1,,,,0,,,60,0
38400,note_on,,,,,1920,0,1,,,,0,,,55,0
38400,note_on,,,,,0,0,1,,,,0,,,65,72
38400,set_tempo,,,,,3840,1,0,300000,,,,,,,
38400,note_on,,,,,0,0,3,,,,2,,,44,58
38400,note_on,,,,,0,0,3,,,,2,,,32,58
38400,note_on,,,,,0,0,3,,,,2,,,34,0
38400,note_on,,,,,1920,0,3,,,,2,,,46,0
38400,note_on,,,,,0,0,1,,,,0,,,64,0
38640,note_on,,,,,0,0,1,,,,0,,,72,72
38640,note_on,,,,,240,0,1,,,,0,,,65,0
38784,note_on,,,,,384,0,3,,,,2,,,44,0
38784,note_on,,,,,0,0,3,,,,2,,,32,0
38880,note_on,,,,,240,0,1,,,,0,,,72,0
38880,note_on,,,,,0,0,1,,,,0,,,68,72
39120,note_on,,,,,0,0,1,,,,0,,,77,72
39120,note_on,,,,,240,0,1,,,,0,,,68,0
