tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,2,4,24,8,0,1,0,,,,,,,
0,control_change,,,,,0,0,5,,,11,7,123,,
0,program_change,,,,,0,0,5,,48,11,,,,
0,control_change,,,,,0,0,4,,,10,10,28,,
0,control_change,,,,,0,0,4,,,10,91,70,,
0,control_change,,,,,0,0,4,,,10,7,126,,
0,program_change,,,,,0,0,4,,48,10,,,,
0,control_change,,,,,0,0,3,,,2,10,92,,
0,control_change,,,,,0,0,5,,,11,10,40,,
0,control_change,,,,,0,0,3,,,2,91,80,,
0,program_change,,,,,0,0,3,,60,2,,,,
0,control_change,,,,,0,0,2,,,1,10,80,,
0,control_change,,,,,0,0,2,,,1,91,80,,
0,control_change,,,,,0,0,2,,,1,7,91,,
0,program_change,,,,,0,0,2,,70,1,,,,
0,control_change,,,,,0,0,1,,,0,91,80,,
0,control_change,,,,,0,0,1,,,0,10,64,,
0,control_change,,,,,0,0,3,,,2,7,116,,
0,control_change,,,,,0,0,5,,,11,91,70,,
0,program_change,,,,,0,0,6,,48,12,,,,
0,control_change,,,,,0,0,6,,,12,7,123,,
0,control_change,,,,,0,0,10,,,7,91,90,,
0,control_change,,,,,0,0,10,,,7,7,102,,
0,program_change,,,,,0,0,10,,45,7,,,,
0,end_of_track,,,,,0,1,9,,,,,,,
0,control_change,,,,,0,0,9,,,6,91,90,,
0,control_change,,,,,0,0,9,,,6,7,102,,
0,program_change,,,,,0,0,9,,45,6,,,,
0,control_change,,,,,0,0,8,,,14,10,96,,
0,control_change,,,,,0,0,8,,,14,91,90,,
0,control_change,,,,,0,0,8,,,14,7,102,,
0,program_change,,,,,0,0,8,,43,14,,,,
0,control_change,,,,,0,0,7,,,13,91,70,,
0,control_change,,,,,0,0,7,,,13,10,84,,
0,control_change,,,,,0,0,7,,,13,7,124,,
0,program_change,,,,,0,0,7,,48,13,,,,
0,control_change,,,,,0,0,6,,,12,91,70,,
0,control_change,,,,,0,0,6,,,12,10,98,,
0,control_change,,,,,0,0,1,,,0,7,89,,
0,program_change,,,,,0,0,1,,68,0,,,,
0,end_of_track,,,,,0,1,11,,,,,,,
0,set_tempo,,,,,0,1,0,352941,,,,,,
480,note_on,,,,,480,0,3,,,2,,,58,105
480,note_on,,,,,0,0,4,,,10,,,82,120
480,note_on,,,,,0,0,4,,,10,,,70,120
480,note_on,,,,,480,0,4,,,10,,,62,120
480,note_on,,,,,480,0,6,,,12,,,70,120
480,note_on,,,,,480,0,5,,,11,,,58,120
480,note_on,,,,,0,0,1,,,0,,,82,105
480,note_on,,,,,0,0,5,,,11,,,65,120
480,note_on,,,,,480,0,1,,,0,,,74,105
480,note_on,,,,,480,0,7,,,13,,,46,105
480,note_on,,,,,480,0,2,,,1,,,46,105
480,note_on,,,,,480,0,8,,,14,,,34,105
480,note_on,,,,,0,0,3,,,2,,,65,105
