tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,pitch,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,
0,pitchwheel,,0,0,1,,,,,,12,-320,,
0,pitchwheel,,0,0,1,,,,,,11,-160,,
0,pitchwheel,,0,0,1,,,,,,10,-480,,
0,pitchwheel,,0,0,1,,,,,,8,-320,,
0,pitchwheel,,0,0,1,,,,,,7,-155,,
0,pitchwheel,,0,0,1,,,,,,6,-480,,
0,pitchwheel,,0,0,1,,,,,,4,-400,,
0,pitchwheel,,0,0,1,,,,,,3,-240,,
0,pitchwheel,,0,0,1,,,,,,2,-316,,
0,pitchwheel,,0,0,1,,,,,,1,-400,,
0,pitchwheel,,0,0,1,,,,,,0,0,,
0,program_change,,0,0,1,,,,,6,12,,,
0,pitchwheel,,0,0,1,,,,,,5,-80,,
0,program_change,,0,0,1,,,,,6,10,,,
0,program_change,,0,0,1,,,,,6,11,,,
0,track_name,,0,1,2,,,,,,,,,
0,text,,0,1,1,,,,,,,,,
0,program_change,,0,0,1,,,,,6,0,,,
0,program_change,,0,0,1,,,,,6,1,,,
0,program_change,,0,0,1,,,,,6,2,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,
0,program_change,,0,0,1,,,,,6,4,,,
0,program_change,,0,0,1,,,,,6,5,,,
0,program_change,,0,0,1,,,,,6,6,,,
0,program_change,,0,0,1,,,,,6,7,,,
0,program_change,,0,0,1,,,,,6,8,,,
0,program_change,,0,0,1,,,,,6,3,,,
96,note_on,,0,0,1,,,,,,6,,54,127
96,note_on,,96,0,1,,,,,,10,,57,127
96,note_on,,0,0,1,,,,,,2,,50,127
490,note_on,,394,0,1,,,,,,10,,69,127
883,note_off,,393,0,1,,,,,,6,,54,127
884,note_on,,1,0,1,,,,,,6,,78,127
1080,note_off,,196,0,1,,,,,,6,,78,127
1081,note_on,,1,0,1,,,,,,4,,76,127
1276,note_off,,195,0,1,,,,,,2,,50,127
1277,note_off,,1,0,1,,,,,,4,,76,127
1277,note_off,,0,0,1,,,,,,10,,57,127
1278,note_on,,0,0,1,,,,,,1,,61,127
1278,note_on,,1,0,1,,,,,,4,,76,127
1278,note_on,,0,0,1,,,,,,10,,57,127
1536,end_of_track,,1536,1,2,,,,,,,,,
1670,note_off,,392,0,1,,,,,,10,,69,127
1671,note_off,,1,0,1,,,,,,4,,76,127
1672,note_on,,1,0,1,,,,,,10,,69,127
2065,note_off,,0,0,1,,,,,,1,,61,127
2065,note_off,,393,0,1,,,,,,10,,69,127
2065,note_off,,0,0,1,,,,,,10,,57,127
2066,note_on,,0,0,1,,,,,,10,,57,127
2066,note_on,,0,0,1,,,,,,7,,55,127
2066,note_on,,1,0,1,,,,,,1,,73,127
2066,note_on,,0,0,1,,,,,,10,,69,127
