tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
4980,note_on,0,0,1,,,,,,,,0,81,64
4980,note_on,60,0,2,,,,,,,,1,57,0
5040,note_on,60,0,2,,,,,,,,1,61,0
5040,note_on,0,0,2,,,,,,,,1,54,64
5040,note_on,60,0,1,,,,,,,,0,81,0
5040,note_on,0,0,1,,,,,,,,0,76,0
5040,note_on,0,0,1,,,,,,,,0,75,64
5100,note_on,60,0,1,,,,,,,,0,81,64
5100,note_on,0,0,2,,,,,,,,1,61,64
5100,note_on,60,0,2,,,,,,,,1,54,0
5160,note_on,0,0,1,,,,,,,,0,80,64
5160,note_on,0,0,2,,,,,,,,1,59,64
5160,note_on,60,0,2,,,,,,,,1,61,0
5160,note_on,60,0,1,,,,,,,,0,81,0
5220,note_on,60,0,2,,,,,,,,1,59,0
5220,note_on,0,0,2,,,,,,,,1,57,64
5220,note_on,60,0,1,,,,,,,,0,80,0
5220,note_on,0,0,1,,,,,,,,0,78,64
5280,note_on,60,0,2,,,,,,,,1,57,0
5280,note_on,0,0,2,,,,,,,,1,56,64
5280,note_on,60,0,1,,,,,,,,0,78,0
5280,note_on,0,0,1,,,,,,,,0,75,0
5280,note_on,0,0,1,,,,,,,,0,76,64
5340,note_on,60,0,2,,,,,,,,1,56,0
5340,note_on,0,0,2,,,,,,,,1,54,64
5400,note_on,60,0,2,,,,,,,,1,54,0
5400,note_on,0,0,2,,,,,,,,1,52,64
5400,note_on,120,0,1,,,,,,,,0,71,64
5460,note_on,0,0,2,,,,,,,,1,54,64
5460,note_on,60,0,2,,,,,,,,1,52,0
5520,note_on,0,0,1,,,,,,,,0,76,64
5520,note_on,0,0,1,,,,,,,,0,76,0
5520,note_on,60,0,2,,,,,,,,1,54,0
5520,note_on,0,0,2,,,,,,,,1,56,64
5520,note_on,120,0,1,,,,,,,,0,71,0
5580,note_on,60,0,2,,,,,,,,1,56,0
5580,note_on,0,0,2,,,,,,,,1,57,64
5640,note_on,60,0,2,,,,,,,,1,57,0
5640,note_on,0,0,2,,,,,,,,1,59,64
5640,note_on,120,0,1,,,,,,,,0,76,0
5640,note_on,0,0,1,,,,,,,,0,76,64
5640,note_on,0,0,1,,,,,,,,0,79,64
5700,note_on,60,0,2,,,,,,,,1,59,0
5700,note_on,0,0,2,,,,,,,,1,61,64
5760,note_on,0,0,1,,,,,,,,0,79,64
5760,note_on,120,0,1,,,,,,,,0,79,0
5760,note_on,0,0,1,,,,,,,,0,76,0
5760,note_on,0,0,1,,,,,,,,0,76,64
5760,note_on,60,0,2,,,,,,,,1,61,0
5760,note_on,0,0,2,,,,,,,,1,62,64
5820,note_on,60,0,2,,,,,,,,1,62,0
5820,note_on,0,0,2,,,,,,,,1,64,64
5880,note_on,0,0,1,,,,,,,,0,78,64
5880,note_on,0,0,1,,,,,,,,0,74,64
5880,note_on,0,0,1,,,,,,,,0,76,0
5880,note_on,120,0,1,,,,,,,,0,79,0
5880,note_on,60,0,2,,,,,,,,1,64,0
5880,note_on,0,0,2,,,,,,,,1,66,64
5940,note_on,0,0,2,,,,,,,,1,62,64
5940,note_on,60,0,2,,,,,,,,1,66,0
6000,note_on,60,0,2,,,,,,,,1,62,0
6000,note_on,0,0,2,,,,,,,,1,59,64
6000,note_on,0,0,1,,,,,,,,0,74,0
6000,note_on,120,0,1,,,,,,,,0,78,0
6060,note_on,0,0,2,,,,,,,,1,61,64
6060,note_on,60,0,2,,,,,,,,1,59,0
6120,note_on,120,0,1,,,,,,,,0,78,64
6120,note_on,0,0,1,,,,,,,,0,74,64
6120,note_on,60,0,2,,,,,,,,1,61,0
6120,note_on,0,0,2,,,,,,,,1,62,64
6180,note_on,60,0,2,,,,,,,,1,62,0
6180,note_on,0,0,2,,,,,,,,1,59,64
6240,note_on,0,0,2,,,,,,,,1,61,64
6240,note_on,60,0,2,,,,,,,,1,59,0
6240,note_on,120,0,1,,,,,,,,0,74,0
6240,note_on,0,0,1,,,,,,,,0,78,0
6240,note_on,0,0,1,,,,,,,,0,78,64
6240,note_on,0,0,1,,,,,,,,0,74,64
6300,note_on,60,0,2,,,,,,,,1,61,0
6300,note_on,0,0,2,,,,,,,,1,62,64
6360,note_on,60,0,2,,,,,,,,1,62,0
6360,note_on,0,0,2,,,,,,,,1,64,64
6360,note_on,120,0,1,,,,,,,,0,74,0
6360,note_on,0,0,1,,,,,,,,0,76,64
6360,note_on,0,0,1,,,,,,,,0,73,64
6360,note_on,0,0,1,,,,,,,,0,78,0
6420,note_on,60,0,2,,,,,,,,1,64,0
6420,note_on,0,0,2,,,,,,,,1,61,64
6480,note_on,0,0,2,,,,,,,,1,57,64
6480,note_on,60,0,2,,,,,,,,1,61,0
6480,note_on,120,0,1,,,,,,,,0,73,0
6480,note_on,0,0,1,,,,,,,,0,76,0
6540,note_on,0,0,2,,,,,,,,1,59,64
6540,note_on,60,0,2,,,,,,,,1,57,0
6600,note_on,0,0,2,,,,,,,,1,61,64
6600,note_on,60,0,2,,,,,,,,1,59,0
6600,note_on,120,0,1,,,,,,,,0,73,64
6600,note_on,0,0,1,,,,,,,,0,76,64
6660,note_on,60,0,2,,,,,,,,1,61,0
6660,note_on,0,0,2,,,,,,,,1,57,64
6720,note_on,0,0,2,,,,,,,,1,59,64
6720,note_on,120,0,1,,,,,,,,0,76,0
6720,note_on,0,0,1,,,,,,,,0,76,64
6720,note_on,0,0,1,,,,,,,,0,73,64
6720,note_on,0,0,1,,,,,,,,0,73,0
6720,note_on,60,0,2,,,,,,,,1,57,0
6780,note_on,60,0,2,,,,,,,,1,59,0
6780,note_on,0,0,2,,,,,,,,1,61,64
6840,note_on,0,0,1,,,,,,,,0,76,0
6840,note_on,120,0,1,,,,,,,,0,73,0
6840,note_on,60,0,2,,,,,,,,1,61,0
6840,note_on,0,0,2,,,,,,,,1,62,64
6840,note_on,0,0,1,,,,,,,,0,71,64
6840,note_on,0,0,1,,,,,,,,0,74,64
6900,note_on,60,0,2,,,,,,,,1,62,0
6900,note_on,0,0,2,,,,,,,,1,59,64
6960,note_on,120,0,1,,,,,,,,0,71,0
6960,note_on,0,0,1,,,,,,,,0,74,0
6960,note_on,60,0,2,,,,,,,,1,59,0
6960,note_on,0,0,2,,,,,,,,1,56,64
7020,note_on,60,0,2,,,,,,,,1,56,0
7020,note_on,0,0,2,,,,,,,,1,57,64
7080,note_on,60,0,2,,,,,,,,1,57,0
7080,note_on,120,0,1,,,,,,,,0,74,64
7080,note_on,0,0,2,,,,,,,,1,59,64
7140,note_on,60,0,2,,,,,,,,1,59,0
7140,note_on,0,0,2,,,,,,,,1,56,64
7200,note_on,0,0,2,,,,,,,,1,57,64
7200,note_on,0,0,2,,,,,,,,1,57,64
7200,note_on,0,0,1,,,,,,,,0,74,64
7200,note_on,120,0,1,,,,,,,,0,74,0
7200,note_on,60,0,2,,,,,,,,1,56,0
7260,note_on,60,0,2,,,,,,,,1,57,0
7260,note_on,0,0,2,,,,,,,,1,59,64
7320,note_on,0,0,1,,,,,,,,0,73,64
7320,note_on,60,0,2,,,,,,,,1,59,0
7320,note_on,0,0,2,,,,,,,,1,61,64
7320,note_on,120,0,1,,,,,,,,0,74,0
7380,note_on,60,0,2,,,,,,,,1,61,0
7380,note_on,0,0,2,,,,,,,,1,57,64
7440,note_on,120,0,1,,,,,,,,0,73,0
7440,note_on,0,0,1,,,,,,,,0,81,64
7440,note_on,0,0,2,,,,,,,,1,66,64
7440,note_on,60,0,2,,,,,,,,1,57,0
7440,note_on,0,0,2,,,,,,,,1,57,0
7500,note_on,60,0,2,,,,,,,,1,61,64
7560,note_on,0,0,2,,,,,,,,1,57,64
7560,note_on,0,0,2,,,,,,,,1,66,0
7560,note_on,0,0,2,,,,,,,,1,66,64
7560,note_on,60,0,2,,,,,,,,1,61,0
7620,note_on,0,0,2,,,,,,,,1,54,64
7620,note_on,60,0,2,,,,,,,,1,57,0
7680,note_on,240,0,1,,,,,,,,0,81,0
7680,note_on,0,0,1,,,,,,,,0,80,64
7680,note_on,60,0,2,,,,,,,,1,54,0
7680,note_on,0,0,2,,,,,,,,1,66,0
7680,note_on,0,0,2,,,,,,,,1,61,64
7680,note_on,0,0,2,,,,,,,,1,66,64
7740,note_on,60,0,2,,,,,,,,1,66,0
7740,note_on,0,0,2,,,,,,,,1,63,64
7800,note_on,60,0,2,,,,,,,,1,63,0
7800,note_on,0,0,2,,,,,,,,1,64,64
7920,note_on,120,0,2,,,,,,,,1,64,0
7920,note_on,0,0,2,,,,,,,,1,61,0
7920,note_on,240,0,1,,,,,,,,0,80,0
7920,note_on,0,0,1,,,,,,,,0,79,64
7980,note_on,60,0,2,,,,,,,,1,64,64
8040,note_on,60,0,2,,,,,,,,1,66,64
8100,note_on,60,0,2,,,,,,,,1,66,0
8100,note_on,0,0,2,,,,,,,,1,67,64
8160,note_on,60,0,2,,,,,,,,1,67,0
8160,note_on,240,0,1,,,,,,,,0,79,0
8160,note_on,0,0,1,,,,,,,,0,78,64
8160,note_on,0,0,2,,,,,,,,1,69,64
8220,note_on,60,0,2,,,,,,,,1,69,0
8220,note_on,0,0,2,,,,,,,,1,67,64
8280,note_on,0,0,2,,,,,,,,1,57,64
8280,note_on,0,0,2,,,,,,,,1,66,64
8280,note_on,0,0,2,,,,,,,,1,64,0
8280,note_on,60,0,2,,,,,,,,1,67,0
8340,note_on,60,0,2,,,,,,,,1,66,0
8340,note_on,0,0,2,,,,,,,,1,69,64
8400,note_on,0,0,2,,,,,,,,1,62,64
8400,note_on,60,0,2,,,,,,,,1,69,0
8400,note_on,0,0,2,,,,,,,,1,57,0
8400,note_on,240,0,1,,,,,,,,0,78,0
8400,note_on,0,0,1,,,,,,,,0,83,64
8460,note_on,60,0,2,,,,,,,,1,62,0
8460,note_on,0,0,2,,,,,,,,1,61,64
8520,note_on,60,0,2,,,,,,,,1,61,0
8520,note_on,0,0,2,,,,,,,,1,59,64
8520,note_on,0,0,2,,,,,,,,1,62,64
8580,note_on,60,0,2,,,,,,,,1,59,0
8580,note_on,0,0,2,,,,,,,,1,69,64
8640,note_on,240,0,1,,,,,,,,0,83,0
8640,note_on,60,0,2,,,,,,,,1,69,0
8640,note_on,0,0,2,,,,,,,,1,68,64
8640,note_on,0,0,1,,,,,,,,0,76,64
8700,note_on,60,0,2,,,,,,,,1,68,0
8700,note_on,0,0,2,,,,,,,,1,66,64
8760,note_on,60,0,2,,,,,,,,1,66,0
8760,note_on,0,0,2,,,,,,,,1,62,0
8760,note_on,0,0,2,,,,,,,,1,64,64
8760,note_on,0,0,2,,,,,,,,1,56,64
8820,note_on,60,0,2,,,,,,,,1,64,0
8820,note_on,0,0,2,,,,,,,,1,68,64
8880,note_on,0,0,1,,,,,,,,0,81,64
8880,note_on,60,0,2,,,,,,,,1,68,0
8880,note_on,0,0,2,,,,,,,,1,56,0
8880,note_on,0,0,2,,,,,,,,1,61,64
8880,note_on,240,0,1,,,,,,,,0,76,0
8940,note_on,60,0,2,,,,,,,,1,61,0
8940,note_on,0,0,2,,,,,,,,1,59,64
9000,note_on,60,0,2,,,,,,,,1,59,0
9000,note_on,0,0,2,,,,,,,,1,57,64
9000,note_on,0,0,2,,,,,,,,1,61,64
9060,note_on,60,0,2,,,,,,,,1,57,0
9060,note_on,0,0,2,,,,,,,,1,67,64
9120,note_on,60,0,2,,,,,,,,1,67,0
9120,note_on,0,0,2,,,,,,,,1,61,0
9120,note_on,0,0,2,,,,,,,,1,66,64
9120,note_on,0,0,2,,,,,,,,1,62,64
9180,note_on,0,0,2,,,,,,,,1,64,64
9180,note_on,60,0,2,,,,,,,,1,66,0
9240,note_on,0,0,2,,,,,,,,1,62,64
9240,note_on,60,0,2,,,,,,,,1,64,0
9240,note_on,0,0,2,,,,,,,,1,62,0
9240,note_on,0,0,2,,,,,,,,1,59,64
9300,note_on,0,0,2,,,,,,,,1,66,64
9300,note_on,60,0,2,,,,,,,,1,62,0
9360,note_on,0,0,2,,,,,,,,1,59,64
9360,note_on,60,0,2,,,,,,,,1,66,0
9360,note_on,0,0,1,,,,,,,,0,80,64
9360,note_on,480,0,1,,,,,,,,0,81,0
9360,note_on,0,0,2,,,,,,,,1,59,0
9420,note_on,0,0,2,,,,,,,,1,66,64
9420,note_on,60,0,2,,,,,,,,1,59,0
9480,note_on,0,0,2,,,,,,,,1,52,64
9480,note_on,60,0,2,,,,,,,,1,66,0
9480,note_on,0,0,2,,,,,,,,1,64,64
9540,note_on,0,0,2,,,,,,,,1,62,64
9540,note_on,60,0,2,,,,,,,,1,64,0
9600,note_on,60,0,2,,,,,,,,1,62,0
9600,note_on,0,0,2,,,,,,,,1,52,0
9600,note_on,0,0,2,,,,,,,,1,61,64
9600,note_on,0,0,2,,,,,,,,1,57,64
9660,note_on,0,0,1,,,,,,,,0,78,64
9660,note_on,300,0,1,,,,,,,,0,80,0
9720,note_on,0,0,2,,,,,,,,1,56,64
9720,note_on,0,0,1,,,,,,,,0,77,64
9720,note_on,60,0,1,,,,,,,,0,78,0
9720,note_on,120,0,2,,,,,,,,1,57,0
9780,note_on,0,0,1,,,,,,,,0,80,64
9780,note_on,60,0,1,,,,,,,,0,77,0
9840,note_on,0,0,2,,,,,,,,1,61,0
9840,note_on,0,0,2,,,,,,,,1,57,64
9840,note_on,120,0,2,,,,,,,,1,56,0
9840,note_on,60,0,1,,,,,,,,0,80,0
9840,note_on,0,0,1,,,,,,,,0,78,64
9900,note_on,60,0,1,,,,,,,,0,76,64
9960,note_on,120,0,2,,,,,,,,1,57,0
9960,note_on,60,0,1,,,,,,,,0,76,0
9960,note_on,0,0,2,,,,,,,,1,54,64
9960,note_on,0,0,1,,,,,,,,0,74,64
10020,note_on,60,0,1,,,,,,,,0,74,0
