tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,,,,,93,94,6,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,,,,,0,0,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,7,100,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,10,45,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,91,103,7,,,
0,control_change,0,0,8,,,,,,,,,,,,,93,97,7,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,,,,,0,0,8,,,
0,control_change,0,0,9,,,,,,,,,,,,,7,90,8,,,
0,control_change,0,0,9,,,,,,,,,,,,,10,85,8,,,
0,control_change,0,0,9,,,,,,,,,,,,,91,109,8,,,
0,control_change,0,0,9,,,,,,,,,,,,,93,97,8,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,,,,,91,91,6,,,
0,control_change,0,0,10,,,,,,,,,,,,,0,0,10,,,
0,control_change,0,0,10,,,,,,,,,,,,,10,100,10,,,
0,control_change,0,0,10,,,,,,,,,,,,,91,94,10,,,
0,control_change,0,0,10,,,,,,,,,,,,,93,82,10,,,
0,track_name,0,1,11,,,,,,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,11,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,12,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,13,,,,,,,,,,,,,93,0,0,,,
0,control_change,0,0,10,,,,,,,,,,,,,7,70,10,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,,,,,10,100,6,,,
0,control_change,0,0,7,,,,,,,,,,,,,0,0,6,,,
0,control_change,0,0,2,,,,,,,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,,,,,,,10,60,1,,,
0,control_change,0,0,2,,,,,,,,,,,,,91,103,1,,,
0,control_change,0,0,2,,,,,,,,,,,,,93,94,1,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,,,,,0,0,2,,,
0,control_change,0,0,3,,,,,,,,,,,,,7,100,2,,,
0,control_change,0,0,3,,,,,,,,,,,,,10,80,2,,,
0,control_change,0,0,3,,,,,,,,,,,,,91,88,2,,,
0,control_change,0,0,3,,,,,,,,,,,,,93,97,2,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,0,0,3,,,
0,control_change,0,0,4,,,,,,,,,,,,,7,100,3,,,
0,control_change,0,0,4,,,,,,,,,,,,,10,60,3,,,
0,control_change,0,0,7,,,,,,,,,,,,,7,100,6,,,
0,control_change,0,0,4,,,,,,,,,,,,,91,85,3,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,,,,,0,0,4,,,
0,control_change,0,0,5,,,,,,,,,,,,,7,90,4,,,
0,control_change,0,0,5,,,,,,,,,,,,,10,70,4,,,
0,control_change,0,0,5,,,,,,,,,,,,,91,88,4,,,
0,control_change,0,0,5,,,,,,,,,,,,,93,82,4,,,
0,control_change,0,0,25,,,,,,,,,,,,,91,0,0,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,,,,,0,0,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,7,100,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,10,30,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,91,94,5,,,
0,control_change,0,0,6,,,,,,,,,,,,,93,94,5,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,,,,,93,94,3,,,
0,control_change,0,0,2,,,,,,,,,,,,,0,0,1,,,
0,track_name,0,1,14,,,,,,,,,,,,,,,,,,
0,control_change,0,0,14,,,,,,,,,,,,,93,0,0,,,
0,control_change,0,0,20,,,,,,,,,,,,,10,100,10,,,
0,control_change,0,0,20,,,,,,,,,,,,,91,0,10,,,
0,control_change,0,0,20,,,,,,,,,,,,,93,0,10,,,
0,track_name,0,1,21,,,,,,,,,,,,,,,,,,
0,control_change,0,0,21,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,21,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,21,,,,,,,,,,,,,,,,,,
0,track_name,0,1,22,,,,,,,,,,,,,,,,,,
0,control_change,0,0,22,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,22,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,22,,,,,,,,,,,,,,,,,,
0,track_name,0,1,23,,,,,,,,,,,,,,,,,,
0,control_change,0,0,23,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,23,,,,,,,,,,,,,93,0,0,,,
0,control_change,0,0,20,,,,,,,,,,,,,7,70,10,,,
0,end_of_track,0,1,23,,,,,,,,,,,,,,,,,,
0,control_change,0,0,24,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,24,,,,,,,,,,,,,93,0,0,,,
0,end_of_track,0,1,24,,,,,,,,,,,,,,,,,,
0,track_name,0,1,25,,,,,,,,,,,,,,,,,,
0,control_change,0,0,25,,,,,,,,,,,,,40,103,1,,,
0,control_change,0,0,25,,,,,,,,,,,,,40,103,0,,,
0,control_change,0,0,25,,,,,,,,,,,,,93,64,1,,,
0,control_change,0,0,25,,,,,,,,,,,,,92,0,1,,,
0,control_change,0,0,25,,,,,,,,,,,,,96,64,1,,,
0,control_change,0,0,25,,,,,,,,,,,,,95,127,1,,,
0,control_change,0,0,25,,,,,,,,,,,,,93,64,0,,,
0,control_change,0,0,25,,,,,,,,,,,,,92,0,0,,,
0,control_change,0,0,25,,,,,,,,,,,,,96,64,0,,,
0,control_change,0,0,25,,,,,,,,,,,,,95,127,0,,,
0,track_name,0,1,24,,,,,,,,,,,,,,,,,,
0,control_change,0,0,14,,,,,,,,,,,,,91,0,0,,,
0,control_change,0,0,20,,,,,,,,,,,,,0,0,10,,,
0,control_change,0,0,19,,,,,,,,,,,,,93,0,8,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,,,,,,
0,control_change,0,0,15,,,,,,,,,,,,,0,0,4,,,
0,control_change,0,0,15,,,,,,,,,,,,,7,90,4,,,
0,control_change,0,0,15,,,,,,,,,,,,,10,70,4,,,
0,control_change,0,0,15,,,,,,,,,,,,,91,0,4,,,
0,control_change,0,0,15,,,,,,,,,,,,,93,0,4,,,
0,track_name,0,1,16,,,,,,,,,,,,,,,,,,
0,control_change,0,0,16,,,,,,,,,,,,,0,0,5,,,
0,control_change,0,0,16,,,,,,,,,,,,,7,100,5,,,
0,control_change,0,0,16,,,,,,,,,,,,,10,30,5,,,
0,control_change,0,0,16,,,,,,,,,,,,,91,0,5,,,
0,control_change,0,0,16,,,,,,,,,,,,,93,0,5,,,
0,track_name,0,1,17,,,,,,,,,,,,,,,,,,
0,track_name,0,1,20,,,,,,,,,,,,,,,,,,
0,control_change,0,0,17,,,,,,,,,,,,,0,0,6,,,
0,control_change,0,0,17,,,,,,,,,,,,,10,100,6,,,
0,control_change,0,0,17,,,,,,,,,,,,,91,0,6,,,
0,control_change,0,0,17,,,,,,,,,,,,,93,0,6,,,
0,track_name,0,1,18,,,,,,,,,,,,,,,,,,
0,control_change,0,0,18,,,,,,,,,,,,,0,0,7,,,
0,control_change,0,0,18,,,,,,,,,,,,,7,100,7,,,
0,control_change,0,0,18,,,,,,,,,,,,,10,45,7,,,
0,control_change,0,0,18,,,,,,,,,,,,,91,0,7,,,
0,control_change,0,0,18,,,,,,,,,,,,,93,0,7,,,
0,track_name,0,1,19,,,,,,,,,,,,,,,,,,
0,control_change,0,0,19,,,,,,,,,,,,,0,0,8,,,
0,control_change,0,0,19,,,,,,,,,,,,,7,90,8,,,
0,control_change,0,0,19,,,,,,,,,,,,,10,85,8,,,
0,control_change,0,0,19,,,,,,,,,,,,,91,0,8,,,
0,control_change,0,0,17,,,,,,,,,,,,,7,100,6,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,25,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,,,,,10,50,0,,,
0,control_change,0,0,1,,,,,,,,,,,,,7,100,0,,,
0,control_change,0,0,1,,,,,,,,,,,,,0,0,0,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,394737,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,C,,,,,,,
0,time_signature,0,1,0,,,,,,,2,2,48,8,,,,,,,,
0,control_change,0,0,1,,,,,,,,,,,,,93,82,0,,,
0,control_change,0,0,1,,,,,,,,,,,,,91,82,0,,,
1,control_change,1,0,3,,,,,,,,,,,,,32,1,2,,,
1,control_change,1,0,16,,,,,,,,,,,,,32,1,5,,,
1,control_change,1,0,2,,,,,,,,,,,,,32,1,1,,,
1,control_change,1,0,10,,,,,,,,,,,,,32,1,10,,,
1,control_change,1,0,9,,,,,,,,,,,,,32,1,8,,,
1,control_change,1,0,8,,,,,,,,,,,,,32,1,7,,,
