tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,121,0,,
0,control_change,0,0,5,,,,,,,,4,91,60,,
0,control_change,0,0,5,,,,,,,,4,91,60,,
0,control_change,0,0,5,,,,,,,,4,7,103,,
0,note_on,0,0,5,,,,,,,,4,,,77,58
0,note_on,0,0,5,,,,,,,,4,,,58,55
0,note_on,0,0,5,,,,,,,,4,,,62,55
0,track_name,0,1,15,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,121,0,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,5,7,91,,
0,control_change,0,0,6,,,,,,,,5,10,16,,
0,control_change,0,0,6,,,,,,,,5,121,0,,
0,control_change,0,0,6,,,,,,,,5,91,60,,
0,track_name,0,1,7,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,48,6,,,,
0,control_change,0,0,7,,,,,,,,6,7,78,,
0,control_change,0,0,7,,,,,,,,6,10,112,,
0,program_change,0,0,6,,,,,,,48,5,,,,
0,control_change,0,0,7,,,,,,,,6,121,0,,
0,control_change,0,0,5,,,,,,,,4,10,76,,
0,control_change,0,0,5,,,,,,,,4,7,104,,
0,control_change,0,0,2,,,,,,,,1,7,54,,
0,control_change,0,0,2,,,,,,,,1,10,54,,
0,control_change,0,0,2,,,,,,,,1,121,0,,
0,control_change,0,0,2,,,,,,,,1,91,69,,
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,70,2,,,,
0,control_change,0,0,3,,,,,,,,2,7,55,,
0,control_change,0,0,3,,,,,,,,2,10,70,,
0,control_change,0,0,5,,,,,,,,4,10,76,,
0,control_change,0,0,3,,,,,,,,2,121,0,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,60,3,,,,
0,control_change,0,0,4,,,,,,,,3,7,42,,
0,control_change,0,0,4,,,,,,,,3,10,46,,
0,control_change,0,0,4,,,,,,,,3,121,0,,
0,control_change,0,0,4,,,,,,,,3,91,78,,
0,track_name,0,1,5,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,0,4,,,,
0,control_change,0,0,3,,,,,,,,2,91,72,,
0,program_change,0,0,2,,,,,,,68,1,,,,
0,control_change,0,0,7,,,,,,,,6,91,60,,
0,program_change,0,0,8,,,,,,,48,7,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,program_change,0,0,12,,,,,,,68,1,,,,
0,control_change,0,0,12,,,,,,,,1,7,54,,
0,control_change,0,0,12,,,,,,,,1,10,54,,
0,control_change,0,0,12,,,,,,,,1,121,0,,
0,control_change,0,0,12,,,,,,,,1,91,69,,
0,track_name,0,1,13,,,,,,,,,,,,
0,program_change,0,0,13,,,,,,,70,2,,,,
0,control_change,0,0,11,,,,,,,,0,91,66,,
0,control_change,0,0,13,,,,,,,,2,7,55,,
0,control_change,0,0,13,,,,,,,,2,121,0,,
0,control_change,0,0,13,,,,,,,,2,91,72,,
0,track_name,0,1,14,,,,,,,,,,,,
0,program_change,0,0,14,,,,,,,48,5,,,,
0,control_change,0,0,14,,,,,,,,5,7,90,,
0,control_change,0,0,14,,,,,,,,5,10,16,,
0,control_change,0,0,14,,,,,,,,5,121,0,,
0,control_change,0,0,14,,,,,,,,5,91,60,,
0,control_change,0,0,13,,,,,,,,2,10,70,,
0,track_name,0,1,8,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,0,121,0,,
0,control_change,0,0,11,,,,,,,,0,7,54,,
0,control_change,0,0,8,,,,,,,,7,7,74,,
0,control_change,0,0,8,,,,,,,,7,10,32,,
0,control_change,0,0,8,,,,,,,,7,121,0,,
0,control_change,0,0,8,,,,,,,,7,91,76,,
0,track_name,0,1,9,,,,,,,,,,,,
0,program_change,0,0,9,,,,,,,48,8,,,,
0,control_change,0,0,9,,,,,,,,8,7,60,,
0,control_change,0,0,9,,,,,,,,8,10,96,,
0,control_change,0,0,11,,,,,,,,0,10,70,,
0,control_change,0,0,9,,,,,,,,8,121,0,,
0,track_name,0,1,10,,,,,,,,,,,,
0,program_change,0,0,10,,,,,,,48,10,,,,
0,control_change,0,0,10,,,,,,,,10,7,70,,
0,control_change,0,0,10,,,,,,,,10,10,96,,
0,control_change,0,0,10,,,,,,,,10,121,0,,
0,control_change,0,0,10,,,,,,,,10,91,91,,
0,track_name,0,1,11,,,,,,,,,,,,
0,program_change,0,0,11,,,,,,,73,0,,,,
0,control_change,0,0,9,,,,,,,,8,91,76,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,
0,time_signature,0,1,0,6,8,12,8,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,91,66,,
0,control_change,0,0,1,,,,,,,,0,121,0,,
0,control_change,0,0,1,,,,,,,,0,10,70,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,
0,program_change,0,0,1,,,,,,,73,0,,,,
0,set_tempo,0,1,0,,,,,,387097,,,,,,
0,control_change,0,0,1,,,,,,,,0,7,54,,
0,track_name,0,1,1,,,,,,,,,,,,
135,note_on,135,0,5,,,,,,,,4,,,62,0
135,note_on,0,0,5,,,,,,,,4,,,58,0
135,note_on,0,0,5,,,,,,,,4,,,77,0
180,note_on,0,0,5,,,,,,,,4,,,58,48
180,note_on,0,0,5,,,,,,,,4,,,62,48
180,note_on,45,0,5,,,,,,,,4,,,77,59
315,note_on,135,0,5,,,,,,,,4,,,62,0
315,note_on,0,0,5,,,,,,,,4,,,58,0
315,note_on,0,0,5,,,,,,,,4,,,77,0
360,note_on,45,0,5,,,,,,,,4,,,77,61
360,note_on,0,0,5,,,,,,,,4,,,58,57
360,note_on,0,0,5,,,,,,,,4,,,62,57
495,note_on,0,0,5,,,,,,,,4,,,77,0
495,note_on,135,0,5,,,,,,,,4,,,62,0
495,note_on,0,0,5,,,,,,,,4,,,58,0
540,note_on,45,0,5,,,,,,,,4,,,77,67
540,note_on,0,0,5,,,,,,,,4,,,58,53
540,note_on,0,0,5,,,,,,,,4,,,62,53
720,note_on,180,0,5,,,,,,,,4,,,62,0
720,note_on,0,0,5,,,,,,,,4,,,58,0
720,note_on,0,0,5,,,,,,,,4,,,77,0
720,note_on,0,0,5,,,,,,,,4,,,74,57
900,note_on,180,0,5,,,,,,,,4,,,74,0
900,note_on,0,0,5,,,,,,,,4,,,70,59
1080,note_on,0,0,5,,,,,,,,4,,,62,47
1080,note_on,0,0,5,,,,,,,,4,,,77,92
1080,note_on,0,0,5,,,,,,,,4,,,58,47
1080,note_on,180,0,5,,,,,,,,4,,,70,0
1215,note_on,0,0,5,,,,,,,,4,,,58,0
1215,note_on,0,0,5,,,,,,,,4,,,77,0
1215,note_on,135,0,5,,,,,,,,4,,,62,0
1260,note_on,45,0,5,,,,,,,,4,,,77,61
1260,note_on,0,0,5,,,,,,,,4,,,58,53
1260,note_on,0,0,5,,,,,,,,4,,,62,53
1395,note_on,135,0,5,,,,,,,,4,,,62,0
1395,note_on,0,0,5,,,,,,,,4,,,58,0
1395,note_on,0,0,5,,,,,,,,4,,,77,0
1440,note_on,45,0,5,,,,,,,,4,,,77,63
1440,note_on,0,0,5,,,,,,,,4,,,58,56
1440,note_on,0,0,5,,,,,,,,4,,,62,56
1575,note_on,0,0,5,,,,,,,,4,,,77,0
1575,note_on,135,0,5,,,,,,,,4,,,62,0
1575,note_on,0,0,5,,,,,,,,4,,,58,0
1620,note_on,45,0,5,,,,,,,,4,,,77,64
1620,note_on,0,0,5,,,,,,,,4,,,62,56
1620,note_on,0,0,5,,,,,,,,4,,,58,56
1800,note_on,180,0,5,,,,,,,,4,,,62,0
1800,note_on,0,0,5,,,,,,,,4,,,58,0
1800,note_on,0,0,5,,,,,,,,4,,,77,0
1800,note_on,0,0,5,,,,,,,,4,,,74,57
1980,note_on,180,0,5,,,,,,,,4,,,74,0
1980,note_on,0,0,5,,,,,,,,4,,,82,96
2160,note_on,180,0,5,,,,,,,,4,,,82,0
2160,note_on,0,0,5,,,,,,,,4,,,77,53
2160,note_on,0,0,5,,,,,,,,4,,,58,60
2160,note_on,0,0,5,,,,,,,,4,,,62,60
2295,note_on,0,0,5,,,,,,,,4,,,77,0
2295,note_on,135,0,5,,,,,,,,4,,,62,0
2295,note_on,0,0,5,,,,,,,,4,,,58,0
2340,note_on,45,0,5,,,,,,,,4,,,77,66
2340,note_on,0,0,5,,,,,,,,4,,,62,56
2340,note_on,0,0,5,,,,,,,,4,,,58,56
2475,note_on,0,0,5,,,,,,,,4,,,58,0
2475,note_on,135,0,5,,,,,,,,4,,,62,0
2475,note_on,0,0,5,,,,,,,,4,,,77,0
2520,note_on,0,0,5,,,,,,,,4,,,58,53
2520,note_on,0,0,5,,,,,,,,4,,,62,53
2520,note_on,45,0,5,,,,,,,,4,,,77,58
2655,note_on,135,0,5,,,,,,,,4,,,62,0
2655,note_on,0,0,5,,,,,,,,4,,,58,0
2655,note_on,0,0,5,,,,,,,,4,,,77,0
2700,note_on,45,0,5,,,,,,,,4,,,77,59
2700,note_on,0,0,5,,,,,,,,4,,,58,57
2700,note_on,0,0,5,,,,,,,,4,,,62,57
2880,note_on,180,0,5,,,,,,,,4,,,62,0
2880,note_on,0,0,5,,,,,,,,4,,,58,0
2880,note_on,0,0,5,,,,,,,,4,,,77,0
2880,note_on,0,0,5,,,,,,,,4,,,74,57
3060,note_on,0,0,5,,,,,,,,4,,,70,45
3060,note_on,180,0,5,,,,,,,,4,,,74,0
3240,note_on,0,0,5,,,,,,,,4,,,65,46
3240,note_on,0,0,5,,,,,,,,4,,,53,55
3240,note_on,0,0,5,,,,,,,,4,,,57,55
3240,note_on,0,0,5,,,,,,,,4,,,60,55
3240,note_on,0,0,5,,,,,,,,4,,,63,55
3240,note_on,180,0,5,,,,,,,,4,,,70,0
3375,note_on,135,0,5,,,,,,,,4,,,63,0
3375,note_on,0,0,5,,,,,,,,4,,,57,0
3375,note_on,0,0,5,,,,,,,,4,,,65,0
3375,note_on,0,0,5,,,,,,,,4,,,53,0
3375,note_on,0,0,5,,,,,,,,4,,,60,0
3420,note_on,0,0,5,,,,,,,,4,,,63,52
3420,note_on,0,0,5,,,,,,,,4,,,57,52
3420,note_on,0,0,5,,,,,,,,4,,,53,52
3420,note_on,0,0,5,,,,,,,,4,,,60,52
3420,note_on,45,0,5,,,,,,,,4,,,65,65
3555,note_on,0,0,5,,,,,,,,4,,,65,0
3555,note_on,0,0,5,,,,,,,,4,,,53,0
3555,note_on,0,0,5,,,,,,,,4,,,60,0
3555,note_on,0,0,5,,,,,,,,4,,,57,0
3555,note_on,135,0,5,,,,,,,,4,,,63,0
3600,note_on,45,0,5,,,,,,,,4,,,65,66
3600,note_on,0,0,5,,,,,,,,4,,,53,56
3600,note_on,0,0,5,,,,,,,,4,,,57,56
3600,note_on,0,0,5,,,,,,,,4,,,60,56
3600,note_on,0,0,5,,,,,,,,4,,,63,56
3735,note_on,0,0,5,,,,,,,,4,,,60,0
3735,note_on,0,0,5,,,,,,,,4,,,53,0
3735,note_on,0,0,5,,,,,,,,4,,,57,0
3735,note_on,135,0,5,,,,,,,,4,,,63,0
3735,note_on,0,0,5,,,,,,,,4,,,65,0
3780,note_on,45,0,5,,,,,,,,4,,,65,63
3780,note_on,0,0,5,,,,,,,,4,,,53,53
3780,note_on,0,0,5,,,,,,,,4,,,57,53
3780,note_on,0,0,5,,,,,,,,4,,,60,53
3780,note_on,0,0,5,,,,,,,,4,,,63,53
4140,note_on,360,0,5,,,,,,,,4,,,63,0
4140,note_on,0,0,5,,,,,,,,4,,,57,0
4140,note_on,0,0,5,,,,,,,,4,,,65,0
4140,note_on,0,0,5,,,,,,,,4,,,53,0
4140,note_on,0,0,5,,,,,,,,4,,,60,0
4140,note_on,0,0,5,,,,,,,,4,,,67,72
4230,note_on,0,0,5,,,,,,,,4,,,69,88
4230,note_on,90,0,5,,,,,,,,4,,,67,0
4320,note_on,0,0,5,,,,,,,,4,,,70,81
4320,note_on,4320,0,6,,,,,,,,5,,,58,54
4320,note_on,0,0,5,,,,,,,,4,,,62,54
4320,note_on,90,0,5,,,,,,,,4,,,69,0
4320,note_on,4320,0,7,,,,,,,,6,,,58,50
4320,note_on,4320,0,8,,,,,,,,7,,,58,51
4408,note_on,88,0,6,,,,,,,,5,,,58,0
4408,note_on,88,0,8,,,,,,,,7,,,58,0
4408,note_on,88,0,7,,,,,,,,6,,,58,0
4455,note_on,0,0,5,,,,,,,,4,,,70,0
4455,note_on,135,0,5,,,,,,,,4,,,62,0
4500,note_on,0,0,5,,,,,,,,4,,,62,46
4500,note_on,92,0,8,,,,,,,,7,,,62,72
4500,note_on,45,0,5,,,,,,,,4,,,70,65
4500,note_on,92,0,7,,,,,,,,6,,,62,74
4500,note_on,92,0,6,,,,,,,,5,,,62,73
4588,note_on,88,0,7,,,,,,,,6,,,62,0
4588,note_on,88,0,8,,,,,,,,7,,,62,0
4588,note_on,88,0,6,,,,,,,,5,,,62,0
4635,note_on,0,0,5,,,,,,,,4,,,70,0
4635,note_on,135,0,5,,,,,,,,4,,,62,0
4680,note_on,92,0,7,,,,,,,,6,,,58,55
4680,note_on,0,0,5,,,,,,,,4,,,62,56
4680,note_on,92,0,6,,,,,,,,5,,,58,65
4680,note_on,45,0,5,,,,,,,,4,,,70,59
4680,note_on,92,0,8,,,,,,,,7,,,58,60
4768,note_on,88,0,6,,,,,,,,5,,,58,0
4768,note_on,88,0,8,,,,,,,,7,,,58,0
4768,note_on,88,0,7,,,,,,,,6,,,58,0
4815,note_on,0,0,5,,,,,,,,4,,,70,0
4815,note_on,135,0,5,,,,,,,,4,,,62,0
4860,note_on,0,0,5,,,,,,,,4,,,62,45
4860,note_on,92,0,6,,,,,,,,5,,,65,80
4860,note_on,92,0,8,,,,,,,,7,,,53,54
4860,note_on,45,0,5,,,,,,,,4,,,70,69
4860,note_on,92,0,7,,,,,,,,6,,,65,83
4905,note_on,0,0,5,,,,,,,,4,,,72,73
4905,note_on,45,0,5,,,,,,,,4,,,70,0
4948,note_on,88,0,8,,,,,,,,7,,,53,0
4948,note_on,88,0,6,,,,,,,,5,,,65,0
4948,note_on,88,0,7,,,,,,,,6,,,65,0
4950,note_on,45,0,5,,,,,,,,4,,,72,0
4950,note_on,0,0,5,,,,,,,,4,,,70,66
5040,note_on,0,0,5,,,,,,,,4,,,72,80
5040,note_on,90,0,5,,,,,,,,4,,,70,0
5040,note_on,0,0,5,,,,,,,,4,,,62,0
5040,note_on,0,0,5,,,,,,,,4,,,63,66
5220,note_on,180,0,5,,,,,,,,4,,,63,0
5220,note_on,0,0,5,,,,,,,,4,,,72,0
5220,note_on,0,0,5,,,,,,,,4,,,69,59
5220,note_on,0,0,5,,,,,,,,4,,,60,53
5400,note_on,0,0,5,,,,,,,,4,,,69,0
5400,note_on,180,0,5,,,,,,,,4,,,60,0
5400,note_on,452,0,6,,,,,,,,5,,,58,52
5400,note_on,0,0,5,,,,,,,,4,,,74,82
5400,note_on,452,0,8,,,,,,,,7,,,58,51
5400,note_on,0,0,5,,,,,,,,4,,,58,54
5400,note_on,452,0,7,,,,,,,,6,,,58,57
5488,note_on,88,0,7,,,,,,,,6,,,58,0
5488,note_on,88,0,6,,,,,,,,5,,,58,0
5488,note_on,88,0,8,,,,,,,,7,,,58,0
5535,note_on,0,0,5,,,,,,,,4,,,74,0
5535,note_on,135,0,5,,,,,,,,4,,,58,0
5580,note_on,92,0,8,,,,,,,,7,,,62,72
5580,note_on,0,0,5,,,,,,,,4,,,58,53
5580,note_on,45,0,5,,,,,,,,4,,,74,66
5580,note_on,92,0,7,,,,,,,,6,,,62,75
5580,note_on,92,0,6,,,,,,,,5,,,62,69
5668,note_on,88,0,6,,,,,,,,5,,,62,0
5668,note_on,88,0,8,,,,,,,,7,,,62,0
5668,note_on,88,0,7,,,,,,,,6,,,62,0
5715,note_on,0,0,5,,,,,,,,4,,,74,0
5715,note_on,135,0,5,,,,,,,,4,,,58,0
5760,note_on,0,0,5,,,,,,,,4,,,58,45
5760,note_on,45,0,5,,,,,,,,4,,,74,57
5760,note_on,92,0,7,,,,,,,,6,,,58,63
5760,note_on,92,0,8,,,,,,,,7,,,58,60
5760,note_on,92,0,6,,,,,,,,5,,,58,50
5848,note_on,88,0,8,,,,,,,,7,,,58,0
5848,note_on,88,0,7,,,,,,,,6,,,58,0
5848,note_on,88,0,6,,,,,,,,5,,,58,0
5895,note_on,135,0,5,,,,,,,,4,,,58,0
5895,note_on,0,0,5,,,,,,,,4,,,74,0
5940,note_on,92,0,8,,,,,,,,7,,,53,54
5940,note_on,92,0,7,,,,,,,,6,,,65,83
5940,note_on,92,0,6,,,,,,,,5,,,65,82
5940,note_on,0,0,5,,,,,,,,4,,,58,52
5940,note_on,45,0,5,,,,,,,,4,,,74,69
5985,note_on,45,0,5,,,,,,,,4,,,74,0
5985,note_on,0,0,5,,,,,,,,4,,,75,74
6028,note_on,88,0,6,,,,,,,,5,,,65,0
6028,note_on,88,0,8,,,,,,,,7,,,53,0
6028,note_on,88,0,7,,,,,,,,6,,,65,0
6030,note_on,45,0,5,,,,,,,,4,,,75,0
6030,note_on,0,0,5,,,,,,,,4,,,74,69
6120,note_on,90,0,5,,,,,,,,4,,,74,0
6120,note_on,0,0,5,,,,,,,,4,,,58,0
6120,note_on,0,0,5,,,,,,,,4,,,75,77
6120,note_on,0,0,5,,,,,,,,4,,,60,65
6300,note_on,180,0,5,,,,,,,,4,,,60,0
6300,note_on,0,0,5,,,,,,,,4,,,75,0
6300,note_on,0,0,5,,,,,,,,4,,,72,59
6300,note_on,0,0,5,,,,,,,,4,,,57,58
6480,note_on,452,0,8,,,,,,,,7,,,58,55
6480,note_on,0,0,5,,,,,,,,4,,,62,80
6480,note_on,452,0,7,,,,,,,,6,,,58,51
6480,note_on,0,0,5,,,,,,,,4,,,77,86
6480,note_on,452,0,6,,,,,,,,5,,,58,59
6480,note_on,180,0,5,,,,,,,,4,,,57,0
6480,note_on,0,0,5,,,,,,,,4,,,72,0
6570,note_on,90,0,5,,,,,,,,4,,,62,0
6615,note_on,45,0,5,,,,,,,,4,,,77,0
6660,note_on,45,0,5,,,,,,,,4,,,74,64
6660,note_on,0,0,5,,,,,,,,4,,,82,64
6840,note_on,180,0,5,,,,,,,,4,,,82,0
6840,note_on,0,0,5,,,,,,,,4,,,74,0
6840,note_on,0,0,5,,,,,,,,4,,,72,63
6840,note_on,0,0,5,,,,,,,,4,,,81,63
7020,note_on,540,0,7,,,,,,,,6,,,58,0
7020,note_on,0,0,7,,,,,,,,6,,,60,69
7020,note_on,0,0,6,,,,,,,,5,,,60,66
7020,note_on,540,0,6,,,,,,,,5,,,58,0
7020,note_on,0,0,5,,,,,,,,4,,,72,0
7020,note_on,0,0,8,,,,,,,,7,,,60,64
7020,note_on,540,0,8,,,,,,,,7,,,58,0
7020,note_on,0,0,5,,,,,,,,4,,,79,58
7020,note_on,0,0,5,,,,,,,,4,,,70,58
7020,note_on,180,0,5,,,,,,,,4,,,81,0
7200,note_on,0,0,5,,,,,,,,4,,,77,59
7200,note_on,0,0,5,,,,,,,,4,,,70,0
7200,note_on,180,0,5,,,,,,,,4,,,79,0
7200,note_on,0,0,5,,,,,,,,4,,,69,59
7380,note_on,180,0,5,,,,,,,,4,,,77,0
7380,note_on,0,0,5,,,,,,,,4,,,69,0
7380,note_on,0,0,5,,,,,,,,4,,,67,61
7380,note_on,0,0,5,,,,,,,,4,,,76,61
7560,note_on,540,0,7,,,,,,,,6,,,60,0
7560,note_on,0,0,5,,,,,,,,4,,,69,49
7560,note_on,540,0,8,,,,,,,,7,,,60,0
7560,note_on,0,0,5,,,,,,,,4,,,67,0
7560,note_on,180,0,5,,,,,,,,4,,,76,0
7560,note_on,0,0,6,,,,,,,,5,,,65,80
7560,note_on,540,0,6,,,,,,,,5,,,60,0
7560,note_on,0,0,8,,,,,,,,7,,,53,43
7560,note_on,0,0,5,,,,,,,,4,,,77,76
7560,note_on,0,0,7,,,,,,,,6,,,65,77
7650,note_on,90,0,5,,,,,,,,4,,,77,0
7650,note_on,0,0,5,,,,,,,,4,,,76,58
7740,note_on,180,0,8,,,,,,,,7,,,53,0
7740,note_on,180,0,6,,,,,,,,5,,,65,0
7740,note_on,180,0,7,,,,,,,,6,,,65,0
7740,note_on,0,0,5,,,,,,,,4,,,77,73
7740,note_on,0,0,5,,,,,,,,4,,,69,0
7740,note_on,90,0,5,,,,,,,,4,,,76,0
7830,note_on,0,0,5,,,,,,,,4,,,81,91
7830,note_on,90,0,5,,,,,,,,4,,,77,0
7920,note_on,180,0,7,,,,,,,,6,,,60,58
7920,note_on,180,0,6,,,,,,,,5,,,60,52
7920,note_on,90,0,5,,,,,,,,4,,,81,0
7920,note_on,0,0,5,,,,,,,,4,,,60,55
7920,note_on,0,0,5,,,,,,,,4,,,70,55
7920,note_on,180,0,8,,,,,,,,7,,,48,48
7920,note_on,0,0,5,,,,,,,,4,,,79,69
8010,note_on,90,0,5,,,,,,,,4,,,79,0
8010,note_on,0,0,5,,,,,,,,4,,,76,56
8100,note_on,0,0,5,,,,,,,,4,,,69,54
8100,note_on,0,0,8,,,,,,,,7,,,53,60
8100,note_on,180,0,8,,,,,,,,7,,,48,0
8100,note_on,0,0,7,,,,,,,,6,,,65,78
8100,note_on,180,0,7,,,,,,,,6,,,60,0
8100,note_on,0,0,5,,,,,,,,4,,,65,54
8100,note_on,0,0,5,,,,,,,,4,,,70,0
8100,note_on,0,0,5,,,,,,,,4,,,60,0
8100,note_on,0,0,5,,,,,,,,4,,,77,70
8100,note_on,0,0,6,,,,,,,,5,,,65,77
8100,note_on,180,0,6,,,,,,,,5,,,60,0
8100,note_on,90,0,5,,,,,,,,4,,,76,0
8190,note_on,90,0,5,,,,,,,,4,,,77,0
8190,note_on,0,0,5,,,,,,,,4,,,79,83
8280,note_on,90,0,5,,,,,,,,4,,,79,0
8280,note_on,0,0,5,,,,,,,,4,,,77,61
8280,note_on,180,0,8,,,,,,,,7,,,53,0
8280,note_on,180,0,6,,,,,,,,5,,,65,0
8280,note_on,180,0,7,,,,,,,,6,,,65,0
8370,note_on,90,0,5,,,,,,,,4,,,77,0
8370,note_on,0,0,5,,,,,,,,4,,,74,47
8460,note_on,90,0,5,,,,,,,,4,,,74,0
8460,note_on,0,0,5,,,,,,,,4,,,65,0
8460,note_on,0,0,5,,,,,,,,4,,,75,72
8460,note_on,0,0,5,,,,,,,,4,,,69,0
8550,note_on,90,0,5,,,,,,,,4,,,75,0
8550,note_on,0,0,5,,,,,,,,4,,,72,54
8640,note_on,8640,0,1,,,,,,,,0,,,82,70
8640,note_on,360,0,7,,,,,,,,6,,,74,95
8640,note_on,0,0,3,,,,,,,,2,,,65,80
8640,note_on,8640,0,3,,,,,,,,2,,,62,80
8640,note_on,8640,0,10,,,,,,,,10,,,34,89
8640,note_on,0,0,2,,,,,,,,1,,,77,77
8640,note_on,360,0,8,,,,,,,,7,,,58,90
8640,note_on,90,0,5,,,,,,,,4,,,72,0
8640,note_on,8640,0,2,,,,,,,,1,,,74,77
8640,note_on,0,0,4,,,,,,,,3,,,70,74
8640,note_on,8640,0,4,,,,,,,,3,,,58,74
8640,note_on,360,0,6,,,,,,,,5,,,77,90
8640,note_on,8640,0,9,,,,,,,,8,,,46,91
8640,note_on,0,0,5,,,,,,,,4,,,70,60
8728,note_on,88,0,1,,,,,,,,0,,,82,0
8728,note_on,88,0,9,,,,,,,,8,,,46,0
8728,note_on,0,0,3,,,,,,,,2,,,62,0
8728,note_on,88,0,8,,,,,,,,7,,,58,0
8728,note_on,88,0,7,,,,,,,,6,,,74,0
8728,note_on,88,0,4,,,,,,,,3,,,70,0
8728,note_on,0,0,4,,,,,,,,3,,,58,0
8728,note_on,0,0,2,,,,,,,,1,,,74,0
8728,note_on,88,0,2,,,,,,,,1,,,77,0
8728,note_on,88,0,10,,,,,,,,10,,,34,0
8728,note_on,88,0,6,,,,,,,,5,,,77,0
8728,note_on,88,0,3,,,,,,,,2,,,65,0
8820,note_on,92,0,4,,,,,,,,3,,,58,73
8820,note_on,92,0,2,,,,,,,,1,,,74,79
8820,note_on,0,0,2,,,,,,,,1,,,77,79
8820,note_on,0,0,4,,,,,,,,3,,,70,73
8820,note_on,92,0,1,,,,,,,,0,,,82,83
8820,note_on,92,0,6,,,,,,,,5,,,77,91
8820,note_on,92,0,9,,,,,,,,8,,,46,90
8820,note_on,92,0,7,,,,,,,,6,,,74,95
8820,note_on,0,0,3,,,,,,,,2,,,65,78
8820,note_on,92,0,3,,,,,,,,2,,,62,78
8820,note_on,92,0,8,,,,,,,,7,,,58,92
8820,note_on,92,0,10,,,,,,,,10,,,34,96
8908,note_on,88,0,1,,,,,,,,0,,,82,0
8908,note_on,88,0,4,,,,,,,,3,,,70,0
8908,note_on,88,0,7,,,,,,,,6,,,74,0
8908,note_on,88,0,10,,,,,,,,10,,,34,0
8908,note_on,88,0,9,,,,,,,,8,,,46,0
8908,note_on,88,0,3,,,,,,,,2,,,65,0
8908,note_on,0,0,4,,,,,,,,3,,,58,0
8908,note_on,88,0,8,,,,,,,,7,,,58,0
8908,note_on,88,0,2,,,,,,,,1,,,77,0
8908,note_on,88,0,6,,,,,,,,5,,,77,0
8908,note_on,0,0,3,,,,,,,,2,,,62,0
8908,note_on,0,0,2,,,,,,,,1,,,74,0
9000,note_on,0,0,4,,,,,,,,3,,,70,84
9000,note_on,92,0,4,,,,,,,,3,,,58,84
9000,note_on,0,0,2,,,,,,,,1,,,77,85
9000,note_on,92,0,1,,,,,,,,0,,,82,80
9000,note_on,92,0,10,,,,,,,,10,,,34,98
9000,note_on,92,0,2,,,,,,,,1,,,74,85
9000,note_on,0,0,3,,,,,,,,2,,,65,85
9000,note_on,92,0,3,,,,,,,,2,,,62,85
9000,note_on,92,0,8,,,,,,,,7,,,58,93
9000,note_on,92,0,9,,,,,,,,8,,,46,101
9000,note_on,92,0,7,,,,,,,,6,,,74,93
9000,note_on,360,0,5,,,,,,,,4,,,70,0
9000,note_on,92,0,6,,,,,,,,5,,,77,101
9088,note_on,88,0,4,,,,,,,,3,,,70,0
9088,note_on,0,0,3,,,,,,,,2,,,62,0
9088,note_on,0,0,4,,,,,,,,3,,,58,0
9088,note_on,88,0,7,,,,,,,,6,,,74,0
9088,note_on,88,0,10,,,,,,,,10,,,34,0
9088,note_on,88,0,2,,,,,,,,1,,,77,0
9088,note_on,0,0,2,,,,,,,,1,,,74,0
9088,note_on,88,0,3,,,,,,,,2,,,65,0
9088,note_on,88,0,9,,,,,,,,8,,,46,0
9088,note_on,88,0,1,,,,,,,,0,,,82,0
9088,note_on,88,0,8,,,,,,,,7,,,58,0
9088,note_on,88,0,6,,,,,,,,5,,,77,0
9180,note_on,92,0,8,,,,,,,,7,,,58,98
9180,note_on,92,0,2,,,,,,,,1,,,74,78
9180,note_on,0,0,3,,,,,,,,2,,,65,91
9180,note_on,92,0,9,,,,,,,,8,,,46,102
9180,note_on,92,0,7,,,,,,,,6,,,74,95
9180,note_on,92,0,6,,,,,,,,5,,,77,97
9180,note_on,92,0,1,,,,,,,,0,,,82,88
9180,note_on,92,0,3,,,,,,,,2,,,62,91
9180,note_on,92,0,4,,,,,,,,3,,,58,83
9180,note_on,92,0,10,,,,,,,,10,,,34,95
9180,note_on,0,0,4,,,,,,,,3,,,70,83
9180,note_on,0,0,2,,,,,,,,1,,,77,78
9268,note_on,0,0,3,,,,,,,,2,,,62,0
9268,note_on,88,0,2,,,,,,,,1,,,77,0
9268,note_on,0,0,2,,,,,,,,1,,,74,0
