tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,7,100,1,,,
0,control_change,0,0,2,,,,,,,10,95,1,,,
0,program_change,0,0,2,,,,,,,,,1,0,,
0,note_on,0,0,2,,,,,,,,,1,,46,100
0,end_of_track,0,1,3,,,,,,,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,
0,end_of_track,0,1,16,,,,,,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,10,32,0,,,
0,note_on,0,0,1,,,,,,,,,0,,77,100
0,program_change,0,0,1,,,,,,,,,0,0,,
0,control_change,0,0,1,,,,,,,7,105,0,,,
0,control_change,0,0,1,,,,,,,0,0,0,,,
0,end_of_track,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,571429,,,,,,
0,key_signature,0,1,0,,,,,Bb,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
59,note_on,59,0,1,,,,,,,,,0,,77,0
59,note_on,59,0,2,,,,,,,,,1,,46,0
60,note_on,1,0,2,,,,,,,,,1,,50,100
60,note_on,1,0,1,,,,,,,,,0,,74,100
85,note_on,25,0,2,,,,,,,,,1,,50,0
119,note_on,59,0,1,,,,,,,,,0,,74,0
120,note_on,1,0,1,,,,,,,,,0,,74,100
120,note_on,35,0,2,,,,,,,,,1,,50,100
179,note_on,59,0,1,,,,,,,,,0,,74,0
180,note_on,1,0,1,,,,,,,,,0,,75,100
209,note_on,29,0,1,,,,,,,,,0,,75,0
210,note_on,1,0,1,,,,,,,,,0,,77,100
239,note_on,119,0,2,,,,,,,,,1,,50,0
239,note_on,29,0,1,,,,,,,,,0,,77,0
240,note_on,1,0,1,,,,,,,,,0,,75,100
240,note_on,1,0,2,,,,,,,,,1,,48,100
299,note_on,59,0,1,,,,,,,,,0,,75,0
299,note_on,59,0,2,,,,,,,,,1,,48,0
300,note_on,1,0,1,,,,,,,,,0,,79,100
300,note_on,1,0,2,,,,,,,,,1,,51,100
325,note_on,25,0,1,,,,,,,,,0,,79,0
325,note_on,25,0,2,,,,,,,,,1,,51,0
360,note_on,35,0,1,,,,,,,,,0,,79,100
360,note_on,35,0,2,,,,,,,,,1,,51,100
479,note_on,119,0,2,,,,,,,,,1,,51,0
479,note_on,119,0,1,,,,,,,,,0,,79,0
480,note_on,1,0,1,,,,,,,,,0,,65,100
480,note_on,1,0,2,,,,,,,,,1,,53,100
509,note_on,29,0,1,,,,,,,,,0,,65,0
510,note_on,1,0,1,,,,,,,,,0,,67,100
539,note_on,29,0,1,,,,,,,,,0,,67,0
540,note_on,1,0,1,,,,,,,,,0,,69,100
569,note_on,29,0,1,,,,,,,,,0,,69,0
570,note_on,1,0,1,,,,,,,,,0,,70,100
599,note_on,119,0,2,,,,,,,,,1,,53,0
599,note_on,29,0,1,,,,,,,,,0,,70,0
600,note_on,1,0,2,,,,,,,,,1,,57,100
600,note_on,1,0,1,,,,,,,,,0,,72,100
629,note_on,29,0,1,,,,,,,,,0,,72,0
630,note_on,1,0,1,,,,,,,,,0,,74,100
659,note_on,29,0,1,,,,,,,,,0,,74,0
660,note_on,1,0,1,,,,,,,,,0,,75,100
689,note_on,29,0,1,,,,,,,,,0,,75,0
690,note_on,1,0,1,,,,,,,,,0,,72,100
719,note_on,29,0,1,,,,,,,,,0,,72,0
719,note_on,119,0,2,,,,,,,,,1,,57,0
720,note_on,1,0,1,,,,,,,,,0,,74,100
720,note_on,1,0,2,,,,,,,,,1,,58,100
749,note_on,29,0,1,,,,,,,,,0,,74,0
750,note_on,1,0,1,,,,,,,,,0,,77,100
779,note_on,59,0,2,,,,,,,,,1,,58,0
779,note_on,29,0,1,,,,,,,,,0,,77,0
780,note_on,1,0,2,,,,,,,,,1,,60,100
780,note_on,1,0,1,,,,,,,,,0,,75,100
809,note_on,29,0,1,,,,,,,,,0,,75,0
810,note_on,1,0,1,,,,,,,,,0,,79,100
839,note_on,29,0,1,,,,,,,,,0,,79,0
839,note_on,59,0,2,,,,,,,,,1,,60,0
840,note_on,1,0,1,,,,,,,,,0,,77,100
